Sample File,F:\OpticsRoomData\long+short\Short.3.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001411001   ,Classifier Firmware Version,2.00
Neutralizer Model,3088,Neutralizer S/N,3088011506003
Impactor (cm),0.0508,Impactor S/N,5080459
DMA Model,3085,DMA S/N,3085A1604001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.905
DMA Characteristic Length (cm),4.987
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
10,12/6/2020,13:15:31,25.7,99.7,49.3,6.91732e-008,1.84531e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,628.803,0.000,0.000,0.000,0.000,0.000,0.000,466.611,446.151,428.534,0.000,0.000,755.619,362.658,347.929,1003.047,641.043,616.750,592.069,1423.215,275.174,1576.636,506.393,974.860,234.579,452.205,217.924,840.181,809.853,1172.455,565.832,182.268,1231.701,1191.720,1316.475,478.657,921.153,746.470,435.867,841.639,410.192,661.391,1024.846,750.859,728.408,943.008,922.893,897.381,1091.547,962.942,1146.677,1016.304,1695.798,1265.634,1996.509,2055.358,2191.643,1616.351,2324.463,2262.259,2085.227,2512.465,2391.488,2274.162,1985.115,3130.288,2446.152,1769.857,2503.451,3306.605,1935.722,2643.488,1746.275,1738.229,2313.815,2401.696,2690.872,2242.946,2398.778,2790.673,2081.800,2929.117,3184.499,3945.301,4059.882,4250.348,4045.214,3210.912,3055.565,2846.670,5298.383,300,6,50,1,3.000,0.336,0.00,10.11,9787.48,4.37,165.5,1.000,2.98,0.775,764.5,ON,72.550,78.642,61.714,162.531,2.185,2.107249e+003,Short,MASIN,,,,,Normal Scan,
11,12/6/2020,13:21:01,25.8,99.7,49.1,6.92026e-008,1.84579e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1017.705,0.000,0.000,447.494,0.000,0.000,395.469,0.000,363.750,348.976,670.711,0.000,0.000,593.852,0.000,1372.291,527.622,507.918,244.449,1176.425,0.000,874.322,632.033,609.219,587.992,567.535,1645.355,529.461,341.517,330.110,480.098,615.951,598.974,582.907,703.478,1097.140,530.706,256.983,1129.680,852.368,1418.772,578.545,1125.104,985.350,1287.789,1359.244,2038.728,1300.692,1464.744,1907.164,2530.081,1982.251,2734.289,3100.700,1907.369,1791.904,2688.046,3913.634,2315.253,2268.230,1581.481,2966.731,2618.873,2967.547,1707.776,1967.195,2725.102,2846.245,2179.342,2457.673,1987.871,2313.239,2344.923,2763.885,2583.696,3008.622,3204.269,2573.256,2908.427,2202.412,3010.215,2914.138,3378.806,3223.536,3831.155,3845.894,300,6,50,1,3.000,0.335,0.00,10.11,9787.54,4.37,165.5,1.000,2.98,0.775,765.9,ON,70.617,78.140,63.418,59.352,2.044,2.022542e+003,Short,MASIN,,,,,Normal Scan,
12,12/6/2020,13:26:31,25.9,99.7,49.0,6.92320e-008,1.84626e-005,,0.000,0.000,0.000,0.000,814.383,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,528.770,507.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,347.946,334.365,320.538,0.000,592.098,0.000,0.000,263.032,253.209,487.454,469.181,452.227,653.805,210.056,202.473,0.000,565.860,0.000,0.000,340.508,329.135,159.560,153.533,597.206,726.482,701.401,546.951,529.139,896.785,1126.346,728.444,1414.584,807.572,1233.961,764.121,1283.988,1182.870,1184.397,1097.337,1655.144,1711.381,1775.172,1826.462,1208.169,2079.841,2161.068,2552.309,2847.607,2639.020,2290.033,2428.334,2322.437,2331.000,3001.217,2275.983,2445.108,2288.056,3138.184,2328.489,1810.750,2732.893,2128.882,1912.037,2301.511,3042.545,3548.912,3283.230,2712.124,3115.451,2768.766,2768.254,4359.158,4117.165,3491.885,3402.972,3591.515,3017.083,300,6,50,1,3.000,0.336,0.00,10.10,9787.63,4.37,165.5,1.000,2.98,0.775,764.7,ON,78.684,83.842,70.116,135.773,1.963,1.909644e+003,Short,MASIN,,,,,Normal Scan,
13,12/6/2020,13:32:01,25.9,99.7,49.1,6.92320e-008,1.84626e-005,,963.795,0.000,0.000,848.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,552.078,0.000,0.000,486.141,466.634,0.000,0.000,410.198,0.000,0.000,0.000,347.946,0.000,0.000,0.000,592.098,284.657,273.648,1315.162,759.627,974.908,469.181,678.341,653.805,420.111,404.947,390.838,943.100,729.110,625.985,245.606,493.703,319.120,921.199,1493.016,1017.075,841.681,683.688,1190.563,1592.701,696.823,1092.667,1532.466,1038.307,1346.140,1309.923,1176.989,1667.978,1321.262,1197.095,1655.144,1996.611,1214.592,1643.816,1975.641,2296.579,2178.624,2194.735,2177.582,2556.563,2274.267,2800.518,2365.233,2486.412,3770.783,3338.109,2404.929,2531.462,2129.588,3486.774,2106.424,2373.990,3096.426,2753.050,3350.238,3017.748,2500.914,3195.578,2869.313,3184.679,3322.519,3391.099,3528.854,3771.289,3837.692,3055.740,3938.686,4529.780,300,6,50,1,3.000,0.336,0.00,10.10,9787.60,4.37,165.5,1.000,2.98,0.775,764.7,ON,73.685,79.410,63.452,162.531,2.143,2.188603e+003,Short,MASIN,,,,,Normal Scan,
14,12/6/2020,13:37:31,26.0,99.6,49.5,6.93309e-008,1.84674e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1104.248,0.000,0.000,0.000,933.346,0.000,857.182,0.000,394.334,377.860,0.000,695.950,668.787,320.564,925.248,296.074,284.681,547.341,263.054,506.460,0.000,703.830,452.265,435.907,420.147,404.981,586.306,754.543,1093.757,527.942,1191.880,987.488,478.721,921.277,942.396,826.589,420.876,1230.743,661.480,896.861,1258.407,1086.157,1532.596,807.640,1234.066,868.395,1561.364,1506.976,1016.442,1296.964,1460.546,475.424,2242.515,1917.950,2155.430,2079.848,1681.946,2297.276,1926.489,2309.343,1868.310,2488.077,2436.980,2642.054,2616.690,2124.437,2705.783,2010.455,2129.776,2547.010,2535.285,2440.681,2296.537,3521.302,3172.655,3063.343,2400.411,2469.965,3442.043,3184.966,2769.015,3006.110,3845.184,2698.237,2766.873,3681.110,2360.977,3196.812,300,6,50,1,3.000,0.336,0.00,10.09,9781.84,4.37,165.5,1.000,2.98,0.775,764.7,ON,72.101,77.234,61.527,135.773,2.132,2.019531e+003,Short,MASIN,,,,,Normal Scan,
15,12/6/2020,13:43:01,26.1,99.7,49.9,6.92907e-008,1.84721e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1198.458,0.000,0.000,0.000,0.000,0.000,930.544,0.000,427.304,409.001,1179.451,376.725,0.000,1040.791,333.390,639.204,1229.961,1180.740,1419.131,545.698,1049.059,757.410,729.047,1169.529,901.814,869.196,1256.656,1009.412,779.394,1316.486,1851.483,2248.034,339.515,1476.786,1113.662,306.170,1488.659,1303.852,1195.388,1697.912,1978.482,1021.907,998.275,726.319,1527.994,1035.277,1118.510,1632.626,2027.050,2806.501,2229.458,1591.470,1456.160,1990.786,2701.569,1274.794,2700.538,2187.701,2671.907,2801.758,2503.603,3041.782,3103.599,2549.024,2965.825,2454.160,2173.197,3555.331,1423.763,2825.620,2777.831,3047.260,3683.171,2290.222,2908.151,2421.523,3142.425,3638.741,3970.745,3398.220,2218.856,3244.430,2742.869,3399.038,4829.411,3793.772,3586.158,4154.781,3831.806,4066.794,300,6,50,1,3.000,0.337,0.00,10.10,9787.71,4.37,165.5,1.000,2.98,0.775,763.6,ON,65.389,73.220,56.419,135.773,2.223,2.562360e+003,Short,MASIN,,,,,Normal Scan,
16,12/6/2020,13:48:31,26.1,99.6,49.9,6.93603e-008,1.84721e-005,,963.899,0.000,0.000,848.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1104.275,0.000,0.000,486.194,0.000,0.000,428.602,0.000,788.688,0.000,1088.145,695.967,334.402,1224.984,363.557,0.000,569.376,1368.388,526.122,0.000,243.753,0.000,452.276,1089.794,630.235,607.486,195.440,0.000,546.892,703.941,851.364,658.342,319.155,460.650,447.954,726.562,420.887,273.505,1058.394,512.505,250.326,1578.470,589.475,1269.181,785.335,545.861,1070.108,1355.382,1016.468,1496.535,1265.839,1806.658,1588.489,1917.999,2335.109,1307.518,3388.847,2042.076,2094.064,2733.761,3075.392,3120.634,3029.528,2842.463,3155.495,2427.991,3081.667,2531.750,1762.630,2765.398,2390.475,2124.918,3301.159,3257.930,2910.023,2278.941,3162.303,4243.285,2200.041,2379.597,3599.836,3876.015,4290.467,3321.006,3735.400,3257.840,3200.988,3556.105,300,6,50,1,3.000,0.336,0.00,10.09,9781.86,4.37,165.5,1.000,2.98,0.775,764.8,ON,73.991,79.405,62.779,135.773,2.215,2.129796e+003,Short,MASIN,,,,,Normal Scan,
17,12/6/2020,13:54:01,26.2,99.6,49.9,6.93897e-008,1.84769e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,446.232,0.000,410.253,394.353,0.000,725.448,0.000,0.000,0.000,308.431,592.177,284.695,547.369,263.067,1266.214,243.760,1407.730,1356.862,0.000,1050.419,1012.502,1172.670,476.934,1179.821,351.979,851.385,658.358,319.163,614.215,298.643,145.316,841.794,795.798,2008.472,768.777,876.165,607.119,1178.979,1153.830,785.355,1528.450,1498.189,1459.679,1118.143,2220.619,1205.070,1461.277,2055.758,1343.548,1822.328,1547.182,1771.149,3148.281,2512.966,2757.721,2634.713,2731.450,2467.311,3396.728,2438.057,2756.045,2397.205,3433.384,2129.887,2256.041,2825.168,2727.975,2917.077,2549.152,3807.985,3088.377,3563.677,2921.684,2543.494,2797.815,3532.333,3530.018,2629.705,3602.343,4215.249,3048.499,3410.460,4671.874,300,6,50,1,3.000,0.336,0.00,10.09,9781.94,4.37,165.5,1.000,2.98,0.775,764.8,ON,74.680,80.047,65.370,162.531,2.023,2.154193e+003,Short,MASIN,,,,,Normal Scan,
18,12/6/2020,13:59:31,26.2,99.6,49.6,6.93897e-008,1.84769e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,484.763,0.000,0.000,854.680,0.000,393.183,376.757,0.000,346.959,0.000,958.886,0.000,0.000,0.000,272.872,0.000,252.491,243.036,467.851,1127.362,1521.221,209.460,807.598,389.730,940.426,727.043,350.934,679.086,656.404,477.324,918.588,446.635,434.654,1119.061,545.401,659.550,510.997,748.769,726.380,1410.576,1265.446,1006.744,979.659,1280.351,1455.347,1317.519,1094.229,1844.627,1706.534,1676.980,3005.129,1611.857,1673.517,2154.950,2205.739,2421.966,3536.158,2429.818,3097.584,2686.964,2556.845,3146.199,3295.605,2805.584,2969.766,3002.293,2974.940,2889.008,2361.990,3198.391,2959.675,3093.122,2589.327,2995.752,3675.943,3952.684,2485.308,2622.896,3543.384,3357.042,3449.209,3280.418,3423.637,3531.155,3396.082,300,6,50,1,3.000,0.337,0.00,10.09,9781.94,4.37,165.5,1.000,2.98,0.775,763.6,ON,75.515,80.595,66.949,117.574,1.967,2.126032e+003,Short,MASIN,,,,,Normal Scan,
19,12/6/2020,14:05:01,26.3,99.6,49.5,6.94192e-008,1.84816e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,394.363,0.000,0.000,348.001,334.418,320.588,1233.756,296.096,569.404,547.382,526.148,506.498,487.531,469.255,904.597,653.909,630.267,405.011,390.900,943.249,364.613,351.988,170.281,164.594,159.586,1074.903,746.627,581.278,561.210,957.316,793.836,896.929,751.017,728.561,1296.910,692.315,897.571,1310.133,1188.299,1970.209,1219.823,1197.288,1947.543,2472.395,1495.124,1552.745,1796.329,2031.920,2247.890,1616.726,1340.270,2746.438,2575.456,2080.727,2207.903,2486.810,2693.845,2428.117,2330.162,2606.349,3575.627,2133.575,2028.379,2871.627,3201.743,2833.123,2545.602,2660.044,2795.128,3151.477,3213.720,4327.254,3705.494,3701.549,4307.413,3927.222,4395.584,3287.818,3064.378,4800.915,300,6,50,1,3.000,0.336,0.00,10.09,9781.97,4.37,165.5,1.000,2.98,0.775,764.9,ON,80.507,83.753,69.280,162.531,1.983,2.081579e+003,Short,MASIN,,,,,Normal Scan,
