Sample File,C:\Users\fvanden\Documents\AIMdata\LongTerm.4.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
10,12/6/2020,13:15:29,26.3,99.8,49.3,6.92800e-008,1.84816e-005,,4.000,2.000,0.000,0.000,0.000,0.000,2.000,3.000,5.001,5.001,7.001,5.001,10.001,9.001,11.001,11.001,22.002,14.002,26.313,19.692,21.002,40.005,29.004,25.157,35.850,45.006,39.005,58.007,56.097,68.919,68.066,71.952,85.011,110.019,96.645,114.317,108.088,131.148,119.607,133.876,148.549,151.063,137.554,156.043,167.506,184.909,171.431,183.790,175.471,187.263,193.235,192.683,190.604,192.840,230.003,237.132,258.867,277.455,242.124,272.520,298.367,293.872,340.301,301.543,305.880,277.160,299.428,290.591,291.228,268.686,285.128,242.530,253.700,229.139,204.254,176.758,177.526,195.371,167.229,134.029,130.023,100.294,105.746,91.780,78.247,79.317,70.706,63.218,45.058,36.954,30.795,44.006,17.204,25.802,10.001,17.002,10.001,10.001,9.001,3.000,5.001,3.000,2.000,0.000,2.000,1.000,0.000,1.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9648.16, 14.3,749.9,1.000,3.93,7.47,781.8,ON,122.858,137.687,113.551,135.773,1.910,2.352390e+003,Long Term,MASIN,,,,,Normal Scan,
11,12/6/2020,13:20:59,26.3,99.8,49.0,6.92800e-008,1.84816e-005,,3.000,2.000,0.000,0.000,0.000,1.000,2.000,5.001,3.000,10.001,11.001,11.001,5.001,8.001,9.001,11.001,22.884,16.120,23.003,25.225,40.783,33.003,30.004,39.005,43.006,41.593,49.418,67.899,61.298,76.778,74.064,85.013,94.013,122.215,102.031,101.806,114.016,116.390,121.935,170.753,146.029,132.141,186.924,187.043,167.701,165.371,164.034,187.191,190.473,204.268,191.592,212.459,225.696,201.083,250.631,230.732,266.219,257.842,277.617,291.657,285.613,267.021,296.853,320.959,320.758,317.673,290.798,263.388,300.660,309.334,233.149,266.870,279.759,227.911,210.067,226.335,197.314,145.413,168.852,143.002,142.729,134.326,121.807,90.759,107.927,102.578,64.935,66.292,63.431,54.377,41.005,34.004,32.004,19.002,16.002,18.015,15.989,15.002,9.001,10.001,5.001,1.000,2.000,4.000,0.000,0.000,1.000,0.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9648.16, 14.3,749.9,1.000,3.93,7.47,781.8,ON,121.800,138.941,113.443,140.746,1.941,2.474736e+003,Long Term,MASIN,,,,,Normal Scan,
12,12/6/2020,13:26:29,26.3,99.8,48.8,6.92800e-008,1.84816e-005,,5.001,1.000,2.000,0.000,0.000,0.000,0.000,2.000,2.000,4.000,6.001,4.000,9.001,9.740,8.261,9.001,12.001,12.001,19.657,27.348,13.001,32.004,43.545,33.464,31.003,33.004,45.391,48.621,66.008,64.008,56.536,91.228,96.272,109.211,97.821,102.017,137.263,138.910,133.902,128.583,154.806,153.813,159.860,157.742,163.504,159.948,166.771,216.406,148.880,186.655,178.773,206.574,207.168,237.276,226.152,218.759,269.327,216.776,247.065,266.774,287.869,263.468,300.145,291.554,282.868,257.636,275.934,282.526,289.910,289.078,215.120,245.258,256.983,258.584,219.041,227.373,194.865,193.600,164.838,174.686,156.724,128.768,117.824,99.654,113.490,83.782,72.168,71.085,56.009,56.008,43.005,42.732,33.345,14.934,20.002,8.001,16.002,5.001,7.001,5.001,7.001,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,300,8,50,1,3.000,0.323,0.00,11.50,9648.16, 14.3,749.9,1.000,3.93,7.47,781.8,ON,124.026,140.991,115.904,135.773,1.919,2.378493e+003,Long Term,MASIN,,,,,Normal Scan,
13,12/6/2020,13:31:59,26.4,99.8,48.7,6.93094e-008,1.84864e-005,,3.000,1.000,1.000,0.000,1.000,1.000,0.000,1.000,3.000,7.001,4.000,5.001,10.001,13.001,14.002,14.002,18.002,18.002,20.002,22.202,27.803,30.545,31.462,20.002,47.006,36.004,55.007,58.008,64.008,70.816,92.566,73.652,106.442,80.588,89.013,112.019,98.016,114.952,153.848,128.003,140.950,133.204,128.184,163.489,147.569,181.732,164.719,173.656,170.296,191.383,171.903,173.918,190.689,229.127,195.319,231.709,256.143,210.779,251.198,291.474,243.858,274.406,267.857,296.486,291.462,259.852,294.015,272.170,289.758,291.557,273.634,238.563,231.403,206.710,199.327,221.430,175.822,170.609,136.940,138.681,131.465,116.031,86.627,96.393,87.014,73.012,65.010,63.011,45.585,45.429,34.004,37.005,27.003,24.003,16.073,13.930,13.001,11.001,5.001,11.001,5.001,3.000,3.000,5.001,0.000,1.000,0.713,0.288,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9649.95, 14.3,749.9,1.000,3.93,7.47,781.9,ON,122.120,138.488,113.301,140.746,1.933,2.289915e+003,Long Term,MASIN,,,,,Normal Scan,
14,12/6/2020,13:37:29,26.5,99.8,49.0,6.93388e-008,1.84911e-005,,5.001,3.000,1.000,0.000,4.000,3.000,1.000,3.000,3.000,4.001,6.001,11.001,6.001,9.001,16.002,15.002,13.001,16.002,26.425,19.580,24.003,25.003,26.003,37.876,40.348,40.076,43.719,56.007,72.300,83.722,78.197,93.828,75.010,112.017,101.014,116.018,109.877,131.904,130.465,124.175,156.064,166.812,146.873,168.031,165.209,186.504,172.395,182.039,205.806,185.069,197.248,191.466,202.624,220.685,230.260,253.790,224.030,254.252,247.595,264.775,263.869,253.186,279.849,287.269,260.043,302.738,288.750,299.743,305.367,256.377,235.428,236.659,257.320,235.552,252.561,194.535,190.644,199.828,194.483,151.690,126.726,112.853,110.751,109.902,87.401,78.012,71.620,58.398,49.007,33.118,38.890,29.004,25.003,22.003,18.002,12.001,16.002,8.001,6.001,6.001,6.001,3.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9651.73, 14.3,749.9,1.000,3.93,7.47,781.9,ON,120.890,137.575,112.669,168.485,1.935,2.382370e+003,Long Term,MASIN,,,,,Normal Scan,
15,12/6/2020,13:42:59,26.6,99.8,49.1,6.93682e-008,1.84959e-005,,3.000,1.000,0.000,0.000,1.000,0.000,3.000,9.001,4.000,13.001,7.001,13.001,14.002,15.002,23.932,23.073,17.002,19.002,23.434,27.571,38.005,32.004,29.003,49.006,40.991,55.021,58.007,56.008,68.009,78.012,86.953,68.214,73.858,97.985,105.054,98.014,124.221,112.297,166.473,160.018,156.125,148.027,171.968,167.093,157.429,176.028,202.390,196.794,186.807,220.808,210.046,221.268,214.062,258.103,230.465,243.461,248.642,257.373,271.178,330.801,297.638,296.917,321.210,301.341,299.794,319.582,305.126,279.389,269.536,293.060,292.686,284.982,276.528,242.540,234.297,219.968,168.426,181.712,159.343,148.669,155.140,136.920,106.649,112.390,84.014,70.564,60.456,65.010,55.386,49.682,45.954,30.003,35.005,30.004,23.003,16.002,9.001,6.001,9.001,6.001,7.001,5.001,6.001,1.000,2.000,0.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.324,0.00,11.50,9653.51, 14.3,749.9,1.000,3.93,7.47,780.7,ON,120.796,137.094,111.646,121.881,1.953,2.528596e+003,Long Term,MASIN,,,,,Normal Scan,
16,12/6/2020,13:48:29,26.6,99.8,49.2,6.93682e-008,1.84959e-005,,3.000,1.000,2.000,0.000,1.000,1.000,0.000,8.001,4.000,3.000,11.001,6.001,10.001,10.001,16.002,12.001,18.002,16.540,17.463,30.003,23.003,16.002,24.002,31.004,46.006,37.004,49.008,51.007,59.007,60.009,46.021,87.998,87.082,89.497,107.124,94.357,125.020,135.569,120.460,155.015,121.047,144.064,182.048,165.040,170.028,164.988,154.029,205.049,162.710,168.355,184.104,189.252,194.776,189.657,207.149,232.661,242.801,257.562,238.625,261.744,268.290,263.569,289.492,296.745,298.750,260.111,270.203,261.867,273.905,257.247,264.990,255.896,235.357,239.500,211.795,178.575,183.583,179.657,160.368,131.354,140.366,116.780,90.833,104.906,95.987,77.504,72.010,61.010,50.484,42.530,34.005,25.003,27.003,16.002,24.003,20.941,19.064,4.679,10.322,8.001,0.000,1.000,2.000,2.000,1.000,3.000,2.000,0.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9653.27, 14.3,749.9,1.000,3.93,7.47,782.0,ON,122.262,138.911,113.704,145.902,1.933,2.298367e+003,Long Term,MASIN,,,,,Normal Scan,
17,12/6/2020,13:53:59,26.7,99.8,49.1,6.93975e-008,1.85006e-005,,2.000,5.001,0.000,2.000,0.000,0.000,2.000,3.000,6.025,4.976,6.001,6.001,6.001,14.001,15.002,11.001,20.002,22.002,20.002,29.003,18.002,21.002,29.004,32.508,43.501,37.907,52.790,55.495,53.192,58.877,69.782,96.015,74.466,111.564,116.420,112.726,108.907,136.025,144.025,159.452,157.835,161.063,167.561,200.051,183.766,175.694,218.910,208.555,192.745,189.790,200.851,206.256,219.115,226.339,206.151,248.765,249.338,242.175,237.145,255.535,263.807,261.750,282.245,297.530,304.001,275.258,271.046,257.246,270.389,275.400,284.947,284.382,246.165,231.999,221.366,188.687,188.621,185.242,172.140,140.029,153.961,117.101,104.569,105.470,80.012,79.014,62.010,53.008,56.008,46.006,37.005,24.743,30.264,21.002,23.003,15.002,8.001,8.001,5.512,10.489,8.001,2.000,3.000,3.000,6.001,1.000,1.000,1.000,0.000,1.000,300,8,50,1,3.000,0.324,0.00,11.50,9655.30, 14.3,749.9,1.000,3.93,7.47,780.8,ON,119.487,137.574,112.465,145.902,1.930,2.402321e+003,Long Term,MASIN,,,,,Normal Scan,
18,12/6/2020,13:59:29,26.8,99.8,48.9,6.94269e-008,1.85054e-005,,2.000,3.000,0.000,0.000,0.000,3.000,4.000,7.001,3.000,9.001,10.001,7.001,13.001,11.001,20.003,16.099,22.906,27.003,26.003,29.004,36.005,33.931,31.076,51.006,51.700,51.313,66.009,62.008,64.009,60.009,66.009,87.604,84.061,99.376,111.237,116.494,134.550,148.903,163.468,162.014,157.513,170.033,174.613,193.638,173.864,205.985,171.034,171.294,185.475,182.403,215.256,207.650,200.913,229.544,247.437,246.163,262.670,284.263,284.915,247.800,269.848,282.021,303.479,301.873,276.192,263.966,296.226,302.304,309.887,293.912,269.238,247.365,242.085,215.334,231.582,228.271,185.956,184.331,161.990,138.702,134.744,129.794,121.385,91.015,92.014,93.437,79.589,52.007,38.361,38.648,43.739,30.672,27.602,20.003,27.003,12.001,21.003,9.001,8.001,8.001,6.001,2.000,4.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,300,8,50,1,3.000,0.324,0.00,11.50,9656.84, 14.3,749.9,1.000,3.93,7.47,780.8,ON,117.659,135.616,110.078,168.485,1.959,2.494908e+003,Long Term,MASIN,,,,,Normal Scan,
19,12/6/2020,14:04:59,26.8,99.8,48.7,6.94269e-008,1.85054e-005,,3.000,2.000,1.000,0.000,2.000,3.000,3.000,6.001,2.000,10.001,3.000,16.002,8.580,12.422,16.002,21.002,28.003,17.318,18.685,24.002,24.002,43.005,27.859,37.148,46.781,49.230,48.007,63.102,64.189,80.738,90.014,85.012,100.015,108.400,105.214,131.446,127.311,136.735,148.626,168.013,157.451,171.037,208.044,176.683,188.508,214.933,199.785,194.425,230.203,220.782,238.369,214.328,219.462,275.073,224.373,249.801,290.200,268.674,274.462,267.900,298.722,316.614,313.127,252.739,271.972,289.333,302.093,298.366,275.812,285.840,271.353,242.398,242.707,214.682,217.569,169.277,171.450,153.843,164.435,126.379,109.348,101.334,95.015,101.180,79.851,70.451,61.568,49.007,41.378,38.606,38.779,23.255,28.895,23.111,17.002,12.001,11.001,8.642,11.361,5.001,4.000,3.000,3.000,1.000,5.001,2.000,0.000,1.000,0.000,0.000,300,8,50,1,3.000,0.323,0.00,11.50,9656.84, 14.3,749.9,1.000,3.93,7.47,782.2,ON,113.579,131.626,107.586,130.975,1.928,2.493514e+003,Long Term,MASIN,,,,,Normal Scan,
