Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320b.1.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
10,17/3/2020,15:25:13,22.4,101.7,43.9,6.68626e-008,1.82958e-005,,0.000,3.000,3.000,5.000,9.000,12.790,10.210,16.000,9.000,10.000,13.000,13.000,25.000,14.000,16.000,6.000,19.000,11.000,22.000,15.000,25.000,18.000,21.000,24.000,28.000,16.068,21.932,18.000,31.000,16.000,27.000,17.000,33.000,22.493,24.507,17.992,43.008,16.000,28.000,30.000,20.000,32.000,27.000,25.000,22.000,34.000,17.287,19.713,23.000,24.000,24.000,17.000,19.000,24.000,19.000,36.000,19.000,23.000,28.000,24.000,28.337,23.663,34.000,33.000,32.000,30.000,23.000,27.000,23.000,18.000,28.000,15.000,23.000,17.384,6.617,11.000,13.689,9.311,7.000,7.000,8.000,3.000,4.000,3.000,4.000,2.000,1.000,2.000,2.000,2.000,2.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.21,9625.99, 13.3,749.9,1.000,1.81,7.48,786.7,ON,47.475,70.348,51.378,20.908,2.188,2.599583e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
11,17/3/2020,15:31:13,22.4,101.7,43.9,6.68626e-008,1.82958e-005,,3.000,1.000,1.000,3.656,8.344,9.000,14.000,12.000,16.000,19.000,19.000,22.000,25.000,28.000,28.000,33.943,36.057,36.000,46.000,37.000,34.000,46.000,48.800,54.200,54.000,45.904,48.096,39.588,50.413,51.000,32.000,44.000,44.049,35.299,44.652,36.000,27.000,41.000,31.000,29.088,19.912,35.000,32.000,29.000,25.000,35.000,32.000,23.000,32.000,36.000,34.000,26.000,22.000,23.000,27.000,36.000,20.000,32.000,35.000,29.000,37.251,30.749,35.658,26.342,33.689,28.311,19.000,24.000,21.000,24.000,19.450,20.550,24.000,21.000,16.714,13.286,10.000,9.000,8.000,7.352,9.648,4.000,5.000,4.000,5.000,3.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,3.000,0.880,0.120,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.320,0.00,10.21,9625.99, 13.3,749.9,1.000,1.81,7.48,784.0,ON,37.929,60.815,45.451,31.059,2.053,3.796967e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
12,17/3/2020,15:37:13,22.5,101.6,44.0,6.69572e-008,1.83006e-005,,0.000,1.000,5.000,6.000,6.000,8.000,11.000,8.000,9.000,10.000,21.000,15.000,17.000,19.000,18.000,28.802,27.198,18.000,21.000,18.000,17.000,25.149,32.851,24.000,22.000,23.000,25.000,18.000,33.000,19.000,28.000,18.000,27.000,28.000,29.000,28.000,27.000,34.000,24.000,23.000,31.000,37.000,22.000,31.000,33.000,28.000,38.000,32.000,19.000,23.049,28.574,34.377,22.000,30.000,23.000,32.000,23.250,29.750,21.000,32.000,23.000,31.000,33.000,27.000,37.000,25.000,26.000,23.000,28.000,35.000,15.000,22.000,13.000,20.000,12.344,13.656,10.000,11.000,5.424,7.576,2.000,3.000,5.000,5.000,1.000,3.000,2.000,4.000,0.000,1.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.20,9625.77, 13.3,749.9,1.000,1.81,7.48,786.7,ON,47.128,68.109,50.851,23.291,2.126,2.838541e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
13,17/3/2020,15:43:13,22.5,101.7,44.1,6.68914e-008,1.83006e-005,,1.000,1.000,4.000,4.000,6.000,2.000,3.000,10.000,7.000,14.141,17.591,15.267,13.000,21.000,18.000,21.000,22.000,21.402,23.598,29.000,21.826,22.174,23.000,28.000,24.000,28.000,31.000,23.000,28.000,33.000,36.478,29.522,27.000,28.000,29.000,30.874,35.126,34.000,35.000,27.000,23.000,27.000,27.000,36.000,35.000,31.682,30.318,32.000,19.000,37.000,28.000,38.000,36.000,40.000,35.000,41.000,26.000,26.000,34.000,28.000,36.000,27.308,29.692,35.000,34.000,32.000,18.000,30.000,20.000,26.000,29.000,14.000,21.000,16.278,16.722,18.000,12.000,14.000,10.700,6.300,4.000,7.000,3.543,3.457,1.000,0.000,0.000,1.000,2.000,3.000,1.000,2.000,0.000,1.200,0.800,2.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.21,9627.82, 13.3,749.9,1.000,1.81,7.48,788.2,ON,49.371,70.720,53.329,26.896,2.096,3.014799e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
14,17/3/2020,15:49:13,22.5,101.6,44.0,6.69572e-008,1.83006e-005,,0.000,1.000,2.000,4.000,7.000,14.000,13.000,14.939,19.996,15.065,19.000,18.000,15.000,24.000,23.000,22.000,21.000,25.000,17.000,20.000,27.000,23.000,23.000,17.000,28.000,39.000,29.000,29.000,31.000,25.642,34.358,38.000,34.000,33.000,38.000,40.000,51.468,28.532,35.000,31.000,33.000,38.000,26.000,31.000,38.088,40.912,27.546,20.894,24.560,32.000,30.000,37.000,28.000,37.000,19.000,23.000,26.000,27.000,31.000,37.727,34.273,30.000,25.000,30.000,32.000,28.870,31.130,28.652,36.348,23.000,24.000,30.000,17.000,19.000,11.000,18.000,15.000,13.810,12.191,11.000,6.000,7.000,8.000,7.000,5.000,3.000,2.000,5.000,3.000,1.000,2.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.319,0.00,10.20,9626.52, 13.3,749.9,1.000,1.81,7.48,785.4,ON,46.860,69.400,51.154,49.581,2.150,3.264750e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
15,17/3/2020,15:55:13,22.5,101.6,44.0,6.69572e-008,1.83006e-005,,0.000,2.000,2.000,2.000,5.000,4.000,9.000,8.000,16.000,12.893,14.107,14.000,15.000,17.000,18.000,31.000,20.000,16.000,18.394,23.606,36.000,27.000,28.000,29.855,20.145,36.000,19.035,23.186,35.779,30.000,31.000,25.000,31.000,19.000,34.000,36.000,30.000,28.302,33.348,31.350,31.000,27.000,28.000,34.000,34.000,34.000,29.000,41.000,40.000,31.524,36.476,34.000,44.000,40.000,39.490,41.511,41.000,38.049,36.951,32.771,45.229,33.836,37.164,38.000,30.000,29.000,30.000,38.000,36.000,18.000,31.000,29.000,21.000,10.937,18.063,19.000,15.000,14.837,14.163,11.000,8.000,3.000,3.000,6.000,5.000,4.000,3.000,2.000,1.000,1.000,2.000,1.000,0.000,2.000,2.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.318,0.00,10.20,9626.02, 13.3,749.9,1.000,1.81,7.48,786.7,ON,52.959,74.843,55.859,27.881,2.134,3.230937e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
16,17/3/2020,16:01:13,22.5,101.6,44.1,6.69572e-008,1.83006e-005,,4.000,4.000,5.000,14.000,13.174,14.826,27.811,29.189,31.000,34.000,20.000,33.000,32.000,39.000,29.000,29.000,34.000,30.965,30.338,34.697,30.000,31.062,34.473,51.235,47.230,44.000,45.000,29.142,44.858,37.284,48.648,39.068,58.000,38.000,52.000,47.000,34.000,33.000,44.000,38.000,37.975,26.025,31.000,31.000,25.000,31.000,31.000,43.000,39.000,33.000,35.000,33.000,37.000,30.988,35.452,48.560,35.000,54.479,36.522,39.000,38.666,36.334,42.000,37.548,27.452,41.000,37.420,29.581,23.686,27.314,21.000,20.237,18.308,15.454,15.000,15.769,15.231,7.000,7.000,4.000,12.000,5.000,5.000,7.000,2.000,7.000,1.000,1.000,0.000,4.000,3.000,1.000,1.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,300,4,50,1,3.000,0.319,0.00,10.20,9626.27, 13.3,749.9,1.000,1.81,7.48,785.4,ON,39.132,60.993,44.542,21.674,2.136,4.317923e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
17,17/3/2020,16:07:13,22.6,101.6,44.1,6.69860e-008,1.83054e-005,,0.000,2.000,3.000,2.000,9.000,5.000,7.000,7.000,10.000,10.000,14.000,11.000,9.000,10.000,13.000,9.000,22.000,19.000,25.000,31.000,18.000,21.000,24.000,25.000,23.778,22.222,23.000,24.000,22.000,19.000,22.000,38.000,25.503,22.497,21.706,25.294,30.000,27.000,40.000,32.000,35.000,25.000,37.882,31.595,33.523,38.000,38.000,29.346,35.654,21.000,37.000,49.000,25.743,46.257,25.000,43.000,34.000,40.000,41.000,36.000,35.000,30.000,34.000,31.447,39.553,27.000,34.615,25.385,38.000,22.713,31.287,29.000,13.000,19.831,25.169,13.701,13.299,15.000,10.000,11.000,5.000,8.000,3.000,5.153,1.847,0.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.317,0.00,10.20,9627.85, 13.3,749.9,1.000,1.81,7.48,788.2,ON,56.657,75.490,57.485,26.896,2.103,2.947198e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
18,17/3/2020,16:13:13,22.5,101.6,44.1,6.69572e-008,1.83006e-005,,1.000,2.000,3.000,5.000,7.000,6.000,9.000,11.000,8.000,16.000,23.000,13.000,14.000,17.000,21.000,21.000,27.000,17.000,26.000,16.000,32.000,33.322,34.678,30.000,32.008,32.992,30.000,29.000,37.000,20.000,30.000,32.000,29.000,36.000,33.000,39.000,38.000,35.438,33.562,32.000,43.000,30.000,42.000,35.000,48.270,29.731,39.000,47.000,37.000,36.000,47.000,32.193,35.807,35.000,34.000,38.000,42.000,40.000,42.000,38.000,43.000,55.921,35.079,42.000,32.000,35.000,32.000,42.000,45.000,28.904,23.096,19.000,29.000,26.998,19.002,19.000,11.000,13.000,7.000,10.000,4.000,3.000,1.000,5.000,2.000,3.000,6.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.316,0.00,10.20,9626.52, 13.3,749.9,1.000,1.81,7.48,789.4,ON,52.045,72.695,54.749,29.961,2.110,3.530159e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
19,17/3/2020,16:19:13,22.5,101.6,44.1,6.69572e-008,1.83006e-005,,2.000,0.000,2.000,3.000,2.000,6.000,7.000,2.000,8.000,10.000,15.000,15.000,16.000,10.000,18.000,20.000,18.000,15.000,20.000,20.000,27.360,33.640,33.000,25.000,34.759,26.242,26.000,40.000,23.000,39.000,29.933,34.068,25.000,33.821,41.179,47.000,40.000,23.233,42.350,37.417,36.000,30.000,45.000,37.000,47.088,40.912,36.546,28.454,39.000,41.469,41.531,46.000,25.847,51.142,40.012,45.000,38.203,45.797,42.992,42.008,53.000,51.000,40.093,48.908,49.145,46.855,50.000,33.000,29.000,28.000,33.000,31.000,34.000,27.000,27.000,26.000,17.000,26.000,17.000,6.000,8.000,8.000,4.000,3.000,3.000,2.000,4.000,2.000,3.000,3.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,300,4,50,1,3.000,0.319,0.00,10.20,9626.76, 13.3,749.9,1.000,1.81,7.48,785.4,ON,58.863,79.800,60.712,35.866,2.097,3.518265e+003,Optics Test,MASIN,,airbourne,optics room,,Normal Scan,
