Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\050520.14.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
10,5/5/2020,11:42:15,20.9,101.3,35.2,6.66934e-008,1.82241e-005,,2.000,0.000,0.000,0.000,0.000,5.000,3.000,11.000,13.000,18.000,15.225,21.775,23.000,16.000,24.000,26.000,22.000,21.000,16.000,14.000,17.000,15.000,19.000,19.000,15.000,20.000,24.211,22.758,28.500,37.531,33.525,42.049,43.713,54.714,55.304,52.696,51.517,39.483,48.000,56.000,51.000,28.000,28.000,27.000,29.637,31.363,44.198,43.802,39.500,44.500,48.000,47.902,56.098,48.000,56.000,47.000,32.000,53.000,42.000,46.000,48.000,46.000,33.000,38.000,31.281,30.719,26.000,13.000,16.000,18.000,20.000,21.000,14.000,13.000,13.000,16.000,12.000,9.868,13.132,12.000,12.000,11.000,11.000,4.000,8.000,4.000,4.000,0.000,2.000,1.000,1.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9582.01, 13.3,749.9,1.000,1.80,7.39,733.7,ON,53.580,72.287,56.212,44.508,2.024,3.042816e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
11,5/5/2020,11:47:45,20.9,101.2,35.3,6.67593e-008,1.82241e-005,,0.000,0.000,0.000,0.000,1.000,3.000,4.000,8.000,12.000,20.000,27.000,27.000,32.000,31.548,30.452,29.000,27.000,29.000,21.000,21.000,16.780,17.220,14.000,19.000,20.000,19.312,16.542,22.264,29.975,33.907,29.131,38.869,47.000,47.000,47.226,43.620,53.232,48.922,52.319,47.681,40.000,32.000,36.000,33.582,28.418,13.000,31.721,34.279,49.000,41.780,54.142,59.079,50.000,50.000,51.939,56.776,59.286,42.066,49.934,64.000,46.000,42.000,45.000,43.000,28.000,29.000,20.464,23.536,15.000,15.000,14.000,19.000,13.000,12.000,18.000,11.000,9.000,11.000,13.000,13.000,11.000,10.000,12.000,8.000,7.000,6.000,9.000,2.000,1.000,5.000,0.000,2.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.20,9580.46, 13.3,749.9,1.000,1.80,7.39,733.6,ON,52.358,72.634,55.066,20.908,2.082,3.213191e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
12,5/5/2020,11:53:15,20.9,101.3,35.3,6.66934e-008,1.82241e-005,,0.000,1.000,0.000,0.000,0.000,1.000,9.110,8.890,19.000,30.000,22.000,34.892,40.511,41.349,38.249,26.935,39.065,32.000,30.000,29.000,33.000,19.000,14.000,19.000,17.000,31.000,25.211,25.274,23.515,27.000,44.525,38.475,39.000,59.000,51.652,45.627,54.238,45.483,47.000,53.000,40.000,43.000,46.000,48.054,35.947,29.000,30.397,33.603,32.000,48.000,40.399,46.601,67.000,63.000,54.000,60.360,55.641,49.000,42.056,63.944,58.000,42.000,38.000,29.000,31.562,39.448,28.990,23.000,24.000,32.000,15.000,15.000,12.000,9.000,8.000,12.852,9.148,8.000,14.000,5.000,11.000,13.000,8.000,7.000,8.000,8.000,3.000,5.000,3.000,2.000,2.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9582.01, 13.3,749.9,1.000,1.80,7.39,733.7,ON,49.384,68.253,51.820,20.908,2.071,3.549776e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
13,5/5/2020,11:58:45,20.9,101.3,35.3,6.66934e-008,1.82241e-005,,0.000,0.000,0.000,0.000,0.000,3.000,3.000,13.000,20.000,21.000,37.000,41.000,42.000,50.000,55.000,55.000,53.334,56.666,46.737,44.264,43.000,34.783,35.217,27.000,21.000,24.000,26.132,20.868,27.000,29.000,32.902,28.098,43.214,40.786,56.000,47.210,51.790,53.000,68.704,52.296,59.000,40.000,34.896,30.104,37.000,25.634,33.366,25.085,38.915,43.000,42.000,37.851,52.150,44.000,53.000,48.000,56.000,55.000,51.000,41.000,48.000,44.863,39.137,34.000,38.000,29.973,30.028,26.000,19.000,17.902,16.098,15.000,16.000,20.000,20.000,13.000,7.000,10.000,8.000,16.000,8.000,18.000,7.000,6.000,8.000,1.000,6.000,6.000,3.000,0.000,3.000,1.000,0.000,1.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.361,0.00,10.21,9582.01, 13.3,749.9,1.000,1.80,7.38,732.6,ON,44.351,64.024,47.861,22.468,2.080,3.856874e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
14,5/5/2020,12:04:15,20.9,101.3,35.2,6.66934e-008,1.82241e-005,,0.000,0.000,1.000,0.000,0.000,3.000,7.000,9.000,15.000,23.000,40.000,32.784,46.217,37.000,56.000,53.935,51.065,39.000,33.000,30.000,39.072,34.928,39.434,18.566,28.000,31.659,22.341,24.000,26.469,24.531,38.000,38.574,60.713,56.364,54.350,69.000,67.000,56.000,59.000,43.000,61.291,48.709,39.000,40.000,34.000,42.000,34.000,38.000,32.500,40.500,33.000,62.902,46.098,52.000,54.000,47.000,57.000,62.000,58.000,65.000,41.764,49.236,31.000,34.678,27.322,30.000,26.000,23.000,18.825,18.175,29.000,14.000,13.000,16.000,7.000,12.000,12.000,16.868,12.132,17.000,9.000,12.000,8.000,3.000,7.000,4.000,2.000,3.000,3.000,3.000,3.000,0.000,2.000,0.000,4.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9581.77, 13.3,749.9,1.000,1.80,7.39,733.7,ON,46.511,64.881,49.233,22.468,2.050,3.908425e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
15,5/5/2020,12:09:45,21.0,101.3,35.2,6.67223e-008,1.82289e-005,,0.000,1.000,0.000,0.000,1.000,1.000,6.000,5.000,10.000,18.000,18.000,30.000,41.319,40.681,50.000,34.835,42.165,29.000,43.000,23.000,19.000,30.000,24.000,15.000,25.691,27.309,35.000,26.000,33.304,27.680,31.016,45.397,38.603,38.000,52.466,62.535,57.000,49.000,51.572,59.428,51.000,46.160,37.840,55.847,40.583,37.570,32.000,31.000,42.290,58.710,62.000,69.000,60.543,62.458,62.000,55.000,58.000,59.000,46.859,55.756,55.530,39.856,37.000,35.000,22.000,22.000,23.000,17.000,14.000,10.000,18.000,15.000,13.520,10.480,17.000,14.000,21.000,11.000,6.000,17.000,11.646,8.354,8.000,4.000,6.000,11.127,0.873,0.000,2.000,1.000,0.000,1.383,0.617,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9583.85, 13.3,749.9,1.000,1.80,7.39,733.8,ON,50.348,67.569,52.228,22.468,2.018,3.616708e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
16,5/5/2020,12:15:15,21.0,101.3,34.9,6.67223e-008,1.82289e-005,,0.000,0.000,0.000,0.000,1.000,0.000,2.000,4.000,14.000,10.000,26.000,32.000,28.000,43.000,34.000,26.000,37.000,30.277,27.723,32.000,27.944,46.056,47.296,32.704,41.000,50.000,58.000,66.000,80.305,69.680,73.016,111.399,100.709,122.362,115.000,133.536,132.002,135.159,113.416,111.983,81.446,86.000,59.000,61.847,58.583,46.570,50.000,40.000,52.000,47.000,53.190,59.810,92.001,64.000,74.202,58.798,53.022,57.978,52.000,50.000,32.000,38.000,27.000,36.000,26.000,24.000,19.000,14.000,10.000,20.000,19.966,10.034,13.000,15.000,9.000,12.000,18.000,14.000,8.000,9.000,8.000,7.000,4.000,4.000,10.000,2.000,3.000,1.000,2.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.21,9583.85, 13.3,749.9,1.000,1.80,7.39,733.8,ON,47.614,60.489,50.104,47.829,1.796,4.956951e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
17,5/5/2020,12:20:45,21.3,101.3,34.6,6.68089e-008,1.82432e-005,,0.000,0.000,0.000,0.000,0.000,2.000,2.000,7.000,12.000,16.000,26.000,31.000,35.000,41.000,37.000,35.000,50.000,45.000,36.000,40.478,32.522,27.000,27.000,32.000,30.000,26.000,26.507,33.258,28.236,38.000,39.000,51.000,43.000,54.845,40.155,52.452,49.548,44.506,41.494,46.891,38.109,45.000,34.000,34.168,36.832,27.000,33.000,40.000,53.000,55.001,58.001,80.001,68.000,71.098,65.440,54.463,62.371,53.630,37.000,32.987,32.013,23.000,19.000,30.000,20.000,18.276,18.724,11.000,11.000,14.277,10.723,12.000,15.000,9.000,8.000,7.000,8.000,10.000,12.000,13.000,11.000,4.000,4.914,7.086,3.000,5.000,0.000,5.000,3.000,1.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.361,0.00,10.20,9589.37, 13.3,749.9,1.000,1.80,7.38,732.9,ON,45.829,62.742,48.995,24.144,1.972,3.507951e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
18,5/5/2020,12:26:15,21.5,101.3,34.3,6.68667e-008,1.82528e-005,,0.000,0.000,0.000,0.000,2.000,1.000,5.000,4.000,6.000,12.000,19.000,23.000,20.000,31.000,38.000,27.000,43.000,38.000,33.000,37.640,39.360,44.000,36.000,50.000,34.000,35.000,42.000,41.000,43.480,45.520,49.000,56.515,58.485,43.550,53.450,51.142,65.858,51.000,60.586,67.415,81.000,68.001,73.000,48.000,44.000,53.000,54.945,41.055,58.000,67.000,63.000,80.001,58.000,75.000,71.352,53.648,72.014,53.987,53.000,34.641,38.359,44.000,28.000,29.000,19.000,20.965,14.035,9.000,12.000,15.000,10.000,9.000,17.624,6.376,12.000,9.000,6.000,14.000,11.000,11.000,10.154,13.846,9.000,4.000,8.671,3.096,3.233,3.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.360,0.00,10.20,9592.80, 13.3,749.9,1.000,1.80,7.39,734.2,ON,49.916,64.461,51.652,57.255,1.901,3.952098e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
19,5/5/2020,12:31:45,21.7,101.3,34.1,6.69245e-008,1.82624e-005,,1.000,0.000,0.000,0.000,1.000,0.000,3.000,13.000,12.000,13.000,30.000,25.000,39.000,29.945,42.055,55.000,44.000,58.407,37.393,51.189,34.011,49.722,40.278,43.538,44.462,45.364,29.636,54.000,53.074,43.926,48.070,49.930,61.550,65.563,64.069,75.514,85.305,73.727,63.273,62.188,59.428,57.060,58.582,56.744,43.000,50.000,52.471,53.530,57.000,55.590,52.410,88.367,75.673,74.961,66.000,74.000,63.564,55.436,59.434,39.567,36.000,36.000,27.000,21.000,22.000,21.159,26.841,14.000,10.000,18.000,18.000,13.000,15.000,7.000,7.000,17.000,14.000,16.000,14.000,12.000,6.000,13.000,8.000,11.000,7.496,7.504,2.000,8.000,4.000,0.000,1.000,1.000,1.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.361,0.00,10.20,9596.71, 13.3,749.9,1.000,1.80,7.38,733.2,ON,47.080,63.174,49.690,25.029,1.942,4.403749e+003,lockdown measurements C,MASIN,,,optics room,,Normal Scan,
