Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\170320.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
10,17/3/2020,12:37:34,21.8,101.8,43.8,6.66245e-008,1.82672e-005,,0.000,564.754,815.407,0.000,1008.637,1895.036,281.742,903.181,1961.351,1472.419,1016.362,1569.869,1139.182,1468.174,1779.374,1369.728,3496.431,4661.008,2695.965,3202.185,2360.305,3571.640,3768.159,2166.210,3023.498,2444.388,3627.766,2503.678,1364.108,2092.531,2153.411,1891.136,1845.699,2024.205,2386.670,3258.756,1802.509,1871.457,1445.894,1423.044,653.751,643.728,1268.007,892.234,703.310,779.773,600.667,676.767,838.015,1494.384,1064.478,1298.201,888.388,1440.642,1110.496,1184.430,1336.297,1173.783,1480.126,1085.746,542.775,1312.299,1218.437,942.394,1135.441,947.396,694.064,1006.633,1161.259,777.347,1092.765,1097.282,1416.648,555.652,797.128,241.221,726.750,570.241,493.134,663.428,920.500,506.696,513.825,518.656,1483.484,619.746,715.183,725.873,1013.231,465.242,755.997,287.994,0.000,594.867,100.235,509.631,0.000,421.958,107.368,437.262,221.298,0.000,114.873,117.109,0.000,0.000,123.525,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9620.97, 13.3,749.9,1.000,1.83,7.52,811.7,ON,43.462,84.890,55.100,25.029,2.401,1.993843e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
11,17/3/2020,12:43:34,21.8,101.8,43.9,6.66245e-008,1.82672e-005,,293.332,282.377,0.000,261.613,1008.637,1215.193,468.503,1128.977,1307.567,1893.110,1422.239,1374.281,1898.637,1651.696,3202.873,1883.376,2164.458,1782.331,1877.230,2030.708,1870.921,857.194,1953.860,1083.105,2234.779,1801.128,2001.526,2434.589,1670.467,1627.524,1263.377,1763.536,2388.552,2130.228,2074.112,1527.542,1201.673,1674.461,2602.608,2466.623,2148.040,2207.068,2626.586,1773.743,2560.067,2599.262,1544.573,1776.513,1676.030,2216.731,1989.694,1135.915,1776.777,1857.535,1411.215,1737.165,1729.326,1799.800,2103.337,1131.233,1076.785,1275.740,1372.795,1482.544,1465.833,1157.006,925.418,1240.817,694.872,855.082,858.601,705.396,865.729,714.410,478.277,804.070,1049.749,651.704,821.890,248.785,167.364,253.348,85.638,432.214,0.000,177.070,89.398,0.000,0.000,0.000,0.000,95.998,0.000,0.000,0.000,203.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9620.97, 13.3,749.9,1.000,1.83,7.52,811.7,ON,53.964,70.164,54.038,22.468,2.051,1.903530e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
12,17/3/2020,12:49:34,21.9,101.7,44.0,6.67188e-008,1.82719e-005,,0.000,282.425,543.696,523.314,252.202,729.239,2108.618,1129.168,1525.754,3366.099,4879.366,4514.139,2088.855,4038.164,3737.319,4281.126,4829.225,9237.298,5789.133,4410.164,6209.094,3572.248,4466.748,4783.615,4207.984,5490.346,4504.202,4504.758,4614.909,3991.552,3967.488,3671.657,2280.372,2544.992,3021.912,1833.364,1902.975,1379.205,1638.961,1518.175,1461.489,1136.275,1811.751,1249.343,967.219,1819.786,1029.893,1271.502,2176.893,1245.536,1310.354,1054.962,2180.969,1200.744,1031.354,1342.589,1415.150,1643.583,1869.960,1241.070,930.634,1461.491,1163.332,848.955,1399.429,2072.479,1311.240,1161.705,1006.602,1010.729,858.753,1241.641,721.118,396.965,956.723,1206.318,161.528,244.432,246.611,331.772,334.786,1013.572,428.263,172.916,436.396,177.101,268.241,181.500,460.640,465.324,94.516,0.000,97.562,99.162,100.252,203.888,207.390,105.508,0.000,0.000,221.336,0.000,114.892,117.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.22,9621.26, 13.3,749.9,1.000,1.83,7.52,811.7,ON,34.937,60.266,43.489,25.029,2.076,2.825986e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
13,17/3/2020,12:55:34,22.0,101.8,44.1,6.66820e-008,1.82767e-005,,0.000,564.812,543.661,1569.840,252.185,2187.573,2108.479,2709.824,2397.455,2734.775,2846.109,1177.524,1879.211,4423.946,4092.983,2910.973,3663.307,2842.872,2261.746,2745.015,2360.549,2857.609,3384.605,3284.754,3482.848,2058.646,2596.881,3560.117,1670.641,2557.804,2244.622,2580.813,3257.456,2120.672,1771.358,2138.782,2904.347,1773.145,2217.269,1897.591,1961.460,919.708,2083.373,2855.449,1582.615,1213.109,1973.829,1438.281,1257.155,1743.633,1392.169,1136.036,1050.025,1520.847,1665.921,1421.468,1242.252,1893.756,1480.284,1318.547,1480.506,1305.360,1466.570,1852.139,2160.406,1311.415,1542.530,1316.508,1393.661,1088.403,858.694,1097.400,944.533,635.100,956.657,746.785,1165.292,1000.809,657.583,829.374,585.836,591.209,685.174,259.356,174.546,88.545,268.222,181.488,92.122,93.058,189.020,96.008,97.556,0.000,0.000,203.874,103.688,0.000,0.000,0.000,110.661,112.733,0.000,117.122,0.000,0.000,0.000,0.000,0.000,0.000,132.630,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9624.65, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.336,68.921,49.039,21.674,2.198,2.402739e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
14,17/3/2020,13:01:34,22.0,101.8,44.1,6.66820e-008,1.82767e-005,,0.000,282.406,1087.321,1046.560,1008.741,972.255,2108.479,2072.855,2140.428,2734.775,1596.835,1991.031,1309.561,3322.702,2847.293,2226.038,3829.821,2916.843,2190.329,2897.515,4868.633,4143.533,3803.333,4163.739,4207.043,2830.638,4003.468,2917.360,2748.987,3022.860,2607.033,3115.138,2931.727,2968.957,2709.120,2138.782,2103.148,1789.201,2733.126,1848.819,2054.863,2023.358,1902.210,2409.285,791.308,1817.578,1718.439,1692.095,1222.728,1694.710,1146.482,1460.617,1696.194,1841.015,2300.565,1658.379,1572.282,1252.168,1831.532,1915.036,2311.012,1389.633,1267.265,1511.187,1928.934,1234.273,2159.541,1757.527,1881.848,1477.118,936.757,1099.419,1021.218,1190.823,558.050,884.572,865.400,1000.809,246.594,414.687,83.691,337.834,342.587,518.712,436.366,265.634,89.407,181.488,92.122,279.175,0.000,96.008,195.111,99.155,100.246,0.000,0.000,0.000,107.379,109.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.23,9624.65, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.356,67.149,49.560,27.881,2.116,2.542315e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
15,17/3/2020,13:07:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,0.000,564.907,0.000,1046.737,504.456,243.105,1171.575,1129.284,3487.797,841.612,1829.951,3533.170,3418.480,2570.007,2847.776,3425.255,2331.591,3727.710,2503.658,2287.901,1770.713,4430.047,4048.412,4062.757,3418.805,2058.996,2533.382,2527.061,2506.389,2558.241,2720.847,3027.502,1932.258,1908.931,1667.436,2852.198,2080.060,1796.513,2892.587,1803.021,934.189,1655.760,1449.553,892.482,1961.858,1013.164,1693.914,1799.451,1927.972,1494.802,1720.021,1298.552,1130.993,1362.436,1664.783,1579.684,1572.556,1722.033,1480.543,2016.954,930.733,1621.523,1312.414,2392.778,1157.564,1311.645,1234.241,1561.026,1691.745,933.081,1327.306,627.197,1338.325,1429.226,1116.297,1045.588,1130.821,814.861,411.062,248.856,669.645,168.947,171.324,605.271,349.154,88.560,178.846,90.760,0.000,93.075,283.579,0.000,0.000,0.000,0.000,203.910,103.706,105.519,322.194,0.000,0.000,112.752,114.905,0.000,0.000,0.000,0.000,0.000,0.000,130.730,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,42.818,70.727,50.911,28.903,2.169,2.310344e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
16,17/3/2020,13:13:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,293.412,0.000,815.629,1046.737,1261.140,1701.733,1874.521,1806.855,2179.873,3366.447,3253.246,4907.180,2848.733,3855.010,4983.607,4435.099,3514.631,4700.156,5007.316,2135.374,3541.426,3286.809,3489.992,2979.355,2103.880,3831.764,2030.132,3287.598,2267.686,2907.104,2834.215,3115.670,2172.009,2227.087,1667.436,3157.791,2180.227,1895.038,2506.909,2751.980,1774.960,1954.309,1699.110,1695.715,1670.827,1559.981,1264.746,1766.490,1625.316,1079.579,1064.775,1542.031,1211.778,1841.336,1507.524,1421.716,1572.556,1800.307,1246.773,1794.012,1929.246,1930.396,1544.017,1775.278,2623.831,1003.023,1542.801,1084.374,1858.542,1943.919,1795.767,1097.594,1338.325,476.409,1435.238,804.299,726.956,1044.219,1166.217,663.616,418.528,506.840,513.971,345.869,174.577,265.681,447.116,635.319,184.276,186.149,189.053,288.075,0.000,99.172,0.000,305.865,207.412,105.519,0.000,109.346,0.000,0.000,0.000,0.000,0.000,121.069,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,40.460,69.080,48.499,25.946,2.228,2.690665e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
17,17/3/2020,13:19:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,586.823,0.000,1631.257,1046.737,2270.052,2330.931,4047.556,3870.731,3269.810,3787.253,4269.886,2748.021,6077.297,3650.518,4113.961,4452.831,5329.351,5348.453,3994.571,3580.122,4426.782,3760.833,4283.329,4739.883,3024.327,3474.557,2877.983,2922.309,3103.149,2907.092,3287.690,2559.301,2280.610,2651.294,3751.731,1120.506,2704.521,2514.947,1781.256,1992.813,2055.217,1839.743,2062.701,1537.946,2110.518,2018.904,2011.898,1376.345,1417.032,1668.807,1556.210,1064.576,1283.104,1681.220,1586.868,1974.605,2280.207,1878.581,1792.236,2327.255,2404.394,1698.738,1466.816,1638.400,1988.953,2391.824,2005.641,1704.016,1703.664,2099.432,2029.998,1411.192,1180.875,1349.825,797.355,1045.588,914.611,1358.924,904.344,575.585,842.190,253.420,942.281,864.673,87.289,354.241,357.693,0.000,276.414,279.224,189.053,96.025,0.000,0.000,200.526,101.955,0.000,105.519,0.000,109.346,0.000,0.000,0.000,0.000,0.000,0.000,123.559,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,37.842,66.092,46.358,20.908,2.234,3.092947e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
18,17/3/2020,13:25:34,22.1,101.7,44.0,6.67763e-008,1.82815e-005,,0.000,564.907,815.629,785.053,1008.912,972.419,2076.504,2741.447,3269.810,2945.641,3049.918,4122.031,5697.466,4222.154,4805.621,4110.306,2664.676,2784.168,3966.689,3275.068,4131.664,2715.211,2652.394,2708.505,2366.865,2959.807,4285.198,3554.538,2096.016,2784.498,2953.753,2670.591,2280.610,2770.907,3529.991,2546.606,2203.691,1970.499,2205.032,2553.766,2308.239,2530.659,1540.150,1338.723,1610.105,2139.826,1287.503,1692.388,1584.682,1834.896,1666.964,1756.924,1130.993,1921.394,1824.898,1974.605,1179.417,1565.484,1792.236,1784.228,1664.854,1740.043,2069.959,1944.123,1758.056,1868.607,1619.941,1406.116,2466.138,1866.162,1717.691,1489.592,2046.850,1111.620,1196.032,563.009,807.729,733.375,904.336,414.760,585.939,591.314,428.309,864.673,87.289,177.120,268.269,272.280,92.138,0.000,283.579,96.025,292.718,0.000,401.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114.905,0.000,0.000,0.000,0.000,0.000,127.942,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9624.94, 13.3,749.9,1.000,1.83,7.52,811.8,ON,41.853,68.782,48.992,20.908,2.207,2.786803e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
19,17/3/2020,13:31:34,22.2,101.7,44.0,6.68051e-008,1.82863e-005,,293.427,564.936,543.780,785.093,2774.650,2431.173,3003.146,3655.447,2397.984,3577.034,4676.783,1766.676,2279.104,4405.953,2669.928,2569.074,1665.508,3241.655,2660.274,2745.623,4131.878,2715.331,2792.138,1489.755,2366.988,1930.409,2127.316,3287.787,2267.803,2093.215,2267.490,3115.849,3366.790,3393.833,2292.860,2444.869,1803.102,2167.662,2410.615,2847.025,2896.153,2299.788,3080.462,2320.575,1407.086,2340.094,1888.437,2234.248,1894.366,2076.223,1392.472,2759.581,2019.737,2066.599,2096.739,2350.923,1808.536,1878.681,1324.767,1784.324,1939.131,2190.376,2982.780,2392.894,1852.202,1929.005,1697.172,2013.090,1627.167,1632.980,2108.188,1803.299,1889.502,952.869,1036.629,1206.513,1130.882,896.395,904.385,829.565,585.971,337.912,256.999,691.775,261.880,177.130,89.428,0.000,276.429,93.080,189.063,96.030,0.000,297.533,0.000,0.000,0.000,0.000,107.404,0.000,110.686,112.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9626.78, 13.3,749.9,1.000,1.83,7.52,811.9,ON,47.668,71.574,51.711,19.456,2.219,2.791232e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
20,17/3/2020,13:37:34,22.2,101.8,44.0,6.67395e-008,1.82863e-005,,0.000,0.000,815.575,1046.668,1008.845,486.177,1874.397,1580.894,1743.783,1683.112,2381.437,2215.333,3418.254,2202.717,4271.407,3596.279,4829.405,3889.527,4593.094,4216.352,3393.641,3572.381,4606.484,4197.903,3287.113,3989.040,4379.249,3287.379,2267.534,2925.642,2589.030,2892.929,2171.864,2863.206,2709.403,2938.101,2519.510,2462.959,1928.262,1992.679,1868.267,1839.610,1905.060,2412.090,2369.086,1819.855,2231.520,2115.343,1844.022,1483.609,2140.345,1947.720,2181.052,1601.053,2062.788,1658.567,1918.407,1534.051,1246.688,1396.257,2404.242,1930.252,2250.024,1840.998,1774.833,1465.856,1696.965,1781.349,2323.018,1399.525,1795.656,1332.701,1731.843,793.960,1275.680,1447.638,969.208,896.285,657.654,497.678,753.298,591.273,599.592,345.845,436.413,354.216,447.085,453.768,0.000,93.068,189.040,96.018,292.698,99.166,200.512,101.948,0.000,0.000,107.391,109.339,0.000,0.000,114.897,117.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,135.644,300,4,50,1,3.000,0.300,0.00,10.22,9628.33, 13.3,749.9,1.000,1.83,7.52,812.0,ON,44.135,72.047,51.806,24.144,2.174,2.817292e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
21,17/3/2020,13:43:34,22.2,101.8,44.0,6.67395e-008,1.82863e-005,,0.000,282.435,271.858,1831.668,2774.324,1215.444,2811.595,2484.261,3269.594,2314.279,2643.088,3336.662,2848.545,3120.516,2847.587,1541.263,3330.624,3241.272,3442.301,3050.332,2508.344,2715.010,2927.882,3388.838,2498.191,3731.683,2377.306,3652.643,1551.471,1976.691,2720.665,3163.614,2667.835,2120.893,2500.987,2139.036,2103.368,2561.487,2603.154,2372.237,1494.603,2023.571,1540.046,1879.248,2017.356,1559.875,1201.588,1343.470,2441.009,1411.662,2375.107,1055.002,1777.162,1921.263,2221.464,2369.377,1651.072,2113.271,2337.540,2249.526,1706.228,2316.303,2238.671,2161.060,2469.300,2700.272,2196.363,1899.510,1626.120,2021.544,1249.144,1332.701,787.196,714.564,1275.680,1367.213,1211.510,1222.207,822.067,995.356,418.499,844.676,513.936,259.384,436.413,177.108,0.000,453.768,460.658,93.068,189.040,96.018,97.566,0.000,0.000,0.000,0.000,105.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.22,9628.33, 13.3,749.9,1.000,1.83,7.52,812.0,ON,46.340,72.325,52.139,33.376,2.225,2.693451e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
22,17/3/2020,13:49:34,22.2,101.7,43.9,6.68051e-008,1.82863e-005,,586.854,0.000,815.671,1831.884,1765.687,2674.290,1640.290,2484.553,4141.972,3156.207,2236.722,2576.323,3394.992,2937.302,1957.947,2569.074,3751.769,4615.100,3129.734,2898.158,3246.475,3429.891,2931.745,3236.892,3680.766,2973.974,3754.086,3165.999,1909.729,3113.958,2292.707,1780.476,3040.971,2015.088,3230.826,2546.739,2904.997,1970.602,1993.348,2743.492,2102.572,1559.777,1264.526,1785.057,2022.686,1733.403,1802.611,964.889,1726.720,1827.085,1883.933,1704.440,1615.790,1906.475,1919.229,1816.733,1729.904,1580.127,1855.773,1396.427,2016.697,1544.390,2007.329,2006.951,1543.501,1697.514,1774.316,1394.270,1316.538,1555.219,2030.107,1568.076,1180.939,1032.274,717.658,1528.250,1050.104,1385.338,657.734,414.783,502.261,675.824,342.666,345.888,174.586,619.955,0.000,181.529,368.572,93.080,189.063,0.000,292.734,0.000,0.000,0.000,207.423,0.000,0.000,0.000,110.686,0.000,114.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9626.78, 13.3,749.9,1.000,1.83,7.52,811.9,ON,42.838,69.008,49.298,25.029,2.212,2.686978e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
23,17/3/2020,13:55:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,293.442,0.000,543.808,1046.844,1009.016,1701.909,937.357,2032.921,2616.117,2735.520,2643.535,1972.449,3117.132,3220.337,2670.065,3373.569,3951.520,3822.019,4538.349,4271.190,3099.069,3715.908,2167.481,3044.026,3287.653,2634.929,3945.335,4018.592,2626.032,2907.394,1360.582,1557.997,2441.956,2600.305,2572.436,1560.579,2804.971,1280.958,2070.938,3086.702,2616.004,1471.941,1812.131,1606.649,2990.215,1646.820,2774.327,1597.350,1325.103,1993.305,1823.391,2332.796,807.938,1569.842,1776.948,1500.859,2024.177,2447.031,2415.892,2560.253,2327.082,1467.249,1732.821,1972.836,1929.480,1851.933,1928.708,1148.321,1935.865,1880.397,1171.279,1254.528,1338.469,1429.392,1435.393,1126.139,1211.724,1140.928,575.548,558.471,724.260,558.998,685.369,345.906,611.085,177.139,178.865,453.848,460.739,186.169,0.000,0.000,390.333,99.183,0.000,101.966,103.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,126.168,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,45.706,72.670,52.325,25.946,2.201,2.703035e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
24,17/3/2020,14:01:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,0.000,815.713,1046.844,2270.285,2188.168,1874.714,881.618,1983.249,841.699,1423.442,2551.997,3038.962,1652.318,2314.057,2055.365,1832.154,2593.458,2347.422,1590.884,2888.166,2000.874,2373.441,3353.276,3187.916,2831.414,4121.539,2687.012,3105.107,3138.392,3174.668,2670.853,2932.518,2545.507,2885.113,2681.202,2504.454,2364.846,1928.593,2657.362,2414.481,2130.357,2478.964,2645.625,2198.687,2253.543,1802.693,1793.585,2247.274,1328.853,1965.947,1866.866,1696.669,1970.175,1776.948,2053.808,1651.360,1957.063,2337.949,2715.439,1784.108,1390.025,1235.345,1621.080,1466.405,1851.933,2237.301,1859.126,1056.334,1661.113,1483.619,548.856,944.802,1270.560,637.952,563.070,491.444,1052.620,739.991,497.766,837.146,253.447,428.355,605.336,261.894,0.000,268.298,181.539,276.443,279.254,0.000,96.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,48.301,70.105,52.883,34.599,2.095,2.476595e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
25,17/3/2020,14:07:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,564.965,815.713,523.422,756.762,1945.038,1874.714,2484.681,1962.088,2104.246,1626.791,2159.382,1519.481,4773.390,3204.078,2859.727,4381.151,2593.458,3755.875,2593.223,2508.770,3715.908,2725.937,4127.540,3287.653,2445.312,3128.586,3166.164,2626.014,3443.460,1971.742,2670.853,3475.593,2227.319,3335.246,2648.746,2604.616,2561.916,2603.601,1649.746,2393.365,2299.908,2174.558,2231.439,2110.740,1560.145,2146.064,2284.965,1509.007,1827.173,982.973,1298.690,1535.081,1841.531,1269.629,2606.756,1965.912,2426.770,2260.017,2637.836,1784.096,2239.485,2084.645,1224.643,1245.331,1851.933,1620.115,1626.736,1858.742,1399.772,1717.887,1196.116,1239.657,952.920,1116.417,1045.701,807.816,814.949,1079.902,569.601,1004.575,506.895,257.013,518.859,523.787,354.279,178.865,90.770,0.000,93.085,189.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,45.806,69.333,51.416,21.674,2.132,2.655924e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
26,17/3/2020,14:13:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,0.000,0.000,271.904,523.422,1513.524,1458.779,1874.714,4291.722,3488.157,2104.246,4066.977,5113.368,4256.743,4138.310,3916.096,3083.048,4330.546,2755.549,4694.844,4881.360,4574.815,3430.069,5165.724,2979.664,4339.702,2831.414,3503.996,2922.613,3103.471,2791.099,2721.147,2209.725,2513.673,1909.131,2918.318,3871.245,2342.447,3227.529,3168.888,2657.362,2335.718,1379.945,1630.918,2265.699,2428.772,1993.519,2231.906,2115.709,1928.175,2325.493,1884.032,2979.019,2286.314,2161.825,1745.740,2211.793,1866.905,2681.878,1517.414,2007.829,2299.889,1853.367,2933.957,2393.034,3009.996,1929.097,2083.005,2401.395,2323.427,2410.726,1874.046,1588.156,1082.190,1099.350,986.297,1189.504,646.253,570.464,822.212,580.727,586.002,591.377,685.369,345.906,87.298,177.139,178.865,181.539,0.000,0.000,283.609,0.000,97.583,396.732,0.000,0.000,0.000,0.000,107.409,0.000,0.000,112.764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,43.777,67.928,49.754,29.961,2.156,3.122385e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
27,17/3/2020,14:19:34,22.3,101.7,43.9,6.68339e-008,1.82911e-005,,586.884,1412.413,1087.617,1570.267,3027.047,3160.687,3749.427,3839.962,4578.205,2735.520,5490.420,3926.149,2469.157,4038.999,3382.083,4110.730,4830.224,4376.460,5007.834,4118.648,1770.896,3858.828,3769.603,3656.860,3550.665,3088.815,3378.872,3287.939,2508.286,3370.983,3276.051,2348.756,2550.568,2388.179,3718.918,2986.842,2304.083,2561.916,2314.312,1708.304,2788.196,1762.371,1993.344,1785.151,2805.214,2425.512,1555.421,2200.337,2431.178,2672.835,2032.948,1704.530,2504.607,2241.864,2221.851,1737.837,1887.268,1957.063,1948.291,1629.252,2016.804,2162.262,1544.182,1621.080,1852.301,2469.244,2237.301,1936.590,1858.742,2332.953,1171.279,862.488,1259.736,635.280,973.854,626.435,888.598,488.969,822.212,248.883,502.288,929.307,257.013,259.430,174.596,442.848,357.731,181.539,0.000,0.000,94.536,170.768,21.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,121.082,123.572,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.21,9628.62, 13.3,749.9,1.000,1.83,7.52,812.0,ON,39.325,62.754,45.463,19.456,2.168,3.122329e+003,Optics Lab Test,MASIN,001,Airborne,OpticsLab,,Normal Scan,
