Sample File,C:\Users\fvanden\Documents\AIMdata\SMPS - Copy\240420.7.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001651003   ,Classifier Firmware Version,2.10
Neutralizer Model,3088,Neutralizer S/N,3088011703001
Impactor (cm),0.0508,Impactor S/N,5080134
DMA Model,3081,DMA S/N,3081A1651001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3776 Low Flow,Detector S/N,3776165002, 
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),30.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
10,28/4/2020,15:54:11,20.8,99.6,45.2,6.78024e-008,1.82193e-005,,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.485,1.515,1.000,5.000,5.000,7.000,3.000,5.901,10.099,9.000,12.000,16.490,16.510,14.000,18.000,11.000,27.000,18.956,22.044,22.000,31.518,26.482,33.000,33.000,26.000,37.000,25.000,33.000,34.000,46.000,27.270,51.624,40.106,34.000,38.000,37.000,20.087,33.913,25.000,34.273,19.727,29.000,27.000,30.000,24.000,22.000,22.000,30.000,20.000,19.000,21.000,12.684,17.316,14.954,18.046,22.000,19.977,21.023,13.584,15.416,16.000,26.000,15.000,12.000,13.000,11.000,13.000,16.000,9.000,7.000,14.000,8.000,6.000,6.000,5.370,4.630,3.000,2.000,4.000,3.000,3.000,0.861,2.139,4.000,1.000,1.000,3.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9985.85, 13.3,777.4,1.000,1.83,7.52,809.2,ON,60.620,85.825,67.339,59.352,1.947,2.304962e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
11,28/4/2020,15:59:41,20.9,99.6,45.1,6.78318e-008,1.82241e-005,,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4.000,3.000,2.000,5.000,5.000,3.000,6.000,2.000,10.000,9.989,8.011,11.000,15.000,12.000,13.831,21.878,26.291,21.000,23.796,26.204,29.000,25.000,29.248,33.752,33.057,27.943,36.000,41.000,31.000,34.675,43.325,41.000,36.095,47.905,44.000,36.000,32.000,36.000,25.000,33.000,25.000,28.000,24.000,26.000,23.000,28.000,24.000,37.000,23.000,25.000,30.000,26.000,22.000,37.096,19.904,20.647,32.353,20.000,19.000,14.000,19.000,23.000,14.000,18.000,19.000,15.000,14.000,12.000,8.000,9.000,8.000,8.000,10.000,9.000,8.000,4.000,4.000,4.000,2.000,3.000,2.000,0.000,1.000,3.000,1.000,5.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9987.78, 13.3,777.4,1.000,1.83,7.52,809.3,ON,61.160,84.080,66.849,61.527,1.925,2.491386e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
12,28/4/2020,16:05:11,21.1,99.7,44.9,6.78224e-008,1.82337e-005,,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,2.000,1.000,5.000,5.000,2.000,4.856,13.144,9.000,11.000,9.000,15.000,20.000,17.000,24.000,19.755,24.245,25.751,26.249,32.323,28.677,46.401,41.903,36.696,37.000,28.000,44.000,32.654,35.346,36.000,35.654,42.346,49.000,33.718,56.282,40.367,36.056,41.522,31.055,37.000,27.130,44.870,32.000,37.000,44.157,40.373,36.470,35.000,29.000,21.000,32.000,29.000,42.000,31.000,33.000,27.000,35.000,37.000,35.000,20.473,31.449,25.078,25.000,17.000,15.000,16.000,16.000,27.000,20.000,12.000,12.000,7.000,6.000,9.000,8.000,8.000,6.000,3.000,1.000,1.000,1.000,5.000,1.000,2.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9993.25, 13.3,777.4,1.000,1.83,7.52,809.6,ON,63.811,85.602,68.603,39.954,1.918,2.960880e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
13,28/4/2020,16:10:41,21.2,99.6,44.8,6.79199e-008,1.82384e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,2.000,1.000,2.000,8.000,6.000,8.000,6.000,6.000,9.000,13.000,10.000,14.000,13.406,10.864,16.613,23.117,25.317,20.683,25.000,36.000,30.000,29.000,32.000,41.382,42.618,34.000,39.000,47.000,39.000,39.000,40.000,50.040,36.960,57.000,46.733,38.267,37.221,51.779,33.000,48.000,48.000,36.000,26.000,43.000,36.000,39.000,33.680,42.133,43.187,36.000,37.000,34.488,37.512,40.109,33.892,32.000,33.000,23.000,29.000,21.943,25.057,17.000,19.007,19.993,19.356,8.644,20.000,14.580,12.420,14.000,7.000,10.000,9.000,9.000,3.000,5.000,2.000,5.000,3.000,3.000,1.000,3.000,3.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9993.57, 13.3,777.4,1.000,1.83,7.52,809.6,ON,69.632,91.064,73.908,66.117,1.886,2.922153e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
14,28/4/2020,16:16:11,21.3,99.6,44.7,6.79492e-008,1.82432e-005,,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,6.000,1.000,2.000,3.000,8.000,5.000,7.000,11.000,15.000,14.000,12.000,12.000,11.000,15.732,17.268,25.000,30.000,20.000,25.000,23.000,25.000,29.000,24.000,34.000,31.827,41.173,36.000,33.000,41.000,35.284,33.716,45.000,39.000,43.000,28.044,43.956,49.412,36.588,27.000,44.000,48.000,37.000,26.000,38.000,48.000,30.000,35.000,38.000,45.000,38.000,29.603,42.435,37.962,28.000,28.000,32.392,22.608,29.238,27.762,37.000,22.000,11.000,15.000,18.000,13.000,15.000,15.000,19.000,12.000,9.000,10.000,6.000,7.000,4.000,3.000,1.000,7.000,1.000,4.000,3.000,5.000,1.000,4.000,0.000,1.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9995.50, 13.3,777.4,1.000,1.83,7.52,809.7,ON,73.837,94.515,76.103,76.351,1.916,2.737602e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
15,28/4/2020,16:21:41,21.4,99.6,44.5,6.79786e-008,1.82480e-005,,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,1.000,3.000,1.000,3.000,7.000,6.000,4.000,11.000,8.000,5.000,7.000,9.000,17.000,19.000,17.000,15.000,25.000,25.000,26.000,20.000,20.000,33.371,39.629,37.000,28.011,33.989,36.000,44.000,37.000,39.000,44.000,43.000,39.000,47.000,32.000,50.000,41.000,46.000,42.203,39.797,47.000,35.000,30.000,37.000,35.000,31.000,32.000,35.279,27.731,33.966,22.024,23.545,26.455,29.000,24.000,23.000,41.000,23.000,27.000,19.000,28.000,18.000,21.000,17.000,18.000,11.000,18.000,13.000,16.000,15.000,8.000,15.000,5.000,2.000,8.000,5.442,8.662,7.896,1.000,5.000,4.000,3.000,2.000,3.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.01,9997.43, 13.3,777.4,1.000,1.83,7.52,809.7,ON,67.525,89.638,71.791,51.397,1.914,2.739283e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
16,28/4/2020,16:27:11,21.5,99.6,44.3,6.80080e-008,1.82528e-005,,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,3.000,1.000,2.000,8.507,6.493,8.000,6.000,6.000,10.000,10.000,11.000,11.000,16.000,12.831,20.169,21.000,16.000,24.000,17.000,28.000,32.196,28.553,31.251,33.651,25.349,33.000,37.000,31.000,38.000,28.864,42.136,37.000,40.000,41.000,49.110,44.517,36.373,40.000,36.000,34.000,36.607,46.393,38.000,28.000,33.000,36.000,44.079,28.921,36.780,46.220,42.000,41.928,27.744,28.329,33.000,41.552,25.448,21.000,34.000,22.000,29.120,25.881,20.591,26.409,18.000,19.000,13.000,14.244,8.756,9.000,16.000,10.000,11.000,11.000,8.000,8.000,8.000,2.756,4.244,2.095,7.905,2.183,4.817,1.000,2.000,0.000,4.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.01,9999.36, 13.3,777.4,1.000,1.83,7.52,809.8,ON,73.419,97.351,77.131,68.539,1.964,2.815001e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
17,28/4/2020,16:32:41,21.5,99.6,44.2,6.80080e-008,1.82528e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,4.000,1.000,4.000,5.000,4.000,5.000,10.000,13.000,8.000,12.000,15.000,15.000,24.000,17.000,15.000,17.000,27.000,27.000,31.000,26.000,30.000,21.749,34.214,27.037,28.000,34.000,43.000,38.000,43.000,34.000,54.000,42.000,41.493,40.566,39.941,44.000,38.000,31.000,43.000,33.000,32.000,31.557,34.443,23.000,28.000,30.000,23.000,26.000,31.000,33.967,24.033,22.000,22.000,23.570,20.430,26.000,21.000,26.000,21.000,32.000,23.000,16.000,14.591,22.409,12.000,15.000,9.208,14.792,13.000,9.000,5.000,7.000,6.000,4.000,7.000,3.000,6.000,3.000,2.000,1.000,4.000,2.000,1.000,3.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.01,9999.36, 13.3,777.4,1.000,1.83,7.52,809.8,ON,64.203,86.705,69.413,59.352,1.910,2.611496e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
18,28/4/2020,16:38:11,21.5,99.7,44.1,6.79398e-008,1.82528e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,2.000,2.000,5.000,8.000,3.000,5.000,9.000,9.000,10.000,10.000,13.000,7.000,17.000,17.000,20.000,19.000,23.000,31.000,26.343,33.657,32.000,21.000,30.000,33.000,30.000,26.737,31.263,21.804,41.196,45.115,42.458,37.427,37.000,21.000,24.000,41.000,44.000,34.000,37.000,26.000,32.169,23.832,23.000,31.000,26.000,26.000,25.948,14.052,14.764,23.236,19.000,21.000,28.000,16.000,18.000,20.000,18.000,22.000,21.000,17.000,16.000,13.000,10.182,16.818,13.000,11.000,13.000,11.000,13.000,8.000,7.000,7.000,4.000,8.923,2.077,3.000,4.000,3.000,2.000,1.000,0.000,1.000,2.000,4.000,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.03,9582.49, 13.3,749.9,1.000,1.83,7.52,809.9,ON,64.197,88.680,70.347,59.352,1.926,2.282761e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
19,28/4/2020,16:43:41,21.6,99.6,44.0,6.80374e-008,1.82576e-005,,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,1.000,2.000,4.000,2.000,4.000,12.000,7.000,6.000,7.000,10.000,15.000,15.000,12.672,12.328,13.000,19.000,29.000,19.000,17.000,27.000,22.000,31.000,27.985,40.015,21.444,30.556,36.000,32.000,45.000,44.000,36.000,39.000,32.323,33.677,35.000,33.000,33.000,34.516,20.484,27.000,29.000,21.000,28.000,24.000,24.000,25.000,26.000,10.000,27.000,10.000,20.000,24.306,23.715,23.978,17.000,19.929,16.071,25.000,13.000,19.140,15.860,15.000,9.000,8.000,14.000,11.000,17.000,16.000,13.000,9.000,3.000,12.000,5.423,8.577,3.000,1.000,0.000,3.000,3.000,4.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,300,4,50,1,3.000,0.300,0.00,10.02,9582.71, 13.3,749.9,1.000,1.83,7.52,809.9,ON,64.548,89.524,71.341,57.255,1.915,2.191476e+003,lockdown measurements b,MASIN,,,optics room,,Normal Scan,
