Sample File,C:\Users\fvanden\Documents\AIMdata\PenleeData\Penlee2019.4.S82,
AIM Version,10.3.0.3
Classifier Model,3082       ,Classifier S/N,3082001411001   ,Classifier Firmware Version,2.00
Neutralizer Model,3088,Neutralizer S/N,3088011506003
Impactor (cm),0.0457,Impactor S/N,4570147
DMA Model,3081,DMA S/N,3081A1411001
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3775 Low Flow,Detector S/N,3775141101, 
Detector Sample Flow (L/min),0.30,Detector Inlet Flow (L/min),0.30
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),57.00
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,Raw Counts
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
11,22/11/2019,12:16:31,15.6,98.6,53.4,6.69493e-008,1.79691e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,50,8,50,1,15.000,0.295,0.00,10.19,9771.74,6.04,220.7,1.000,3.99,1.62,680.3,ON,63.617,71.068,62.794,68.539,1.646,1.140371e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
12,22/11/2019,12:17:51,15.6,98.6,53.3,6.69493e-008,1.79691e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,3.000,0.000,1.000,0.000,1.000,1.000,0.000,2.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,35.917,0.099,1.000,1.000,2.000,0.738,2.263,0.000,0.000,0.000,0.000,0.000,0.465,1.494,50,8,50,1,15.000,0.295,0.00,10.19,9771.74,6.04,220.7,1.000,3.99,1.62,680.3,ON,108.638,95.076,88.236,109.411,1.520,4.335499e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
13,22/11/2019,12:19:11,15.6,98.5,53.4,6.70173e-008,1.79691e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.254,0.746,0.000,0.693,1.307,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.000,2.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.294,0.00,10.18,9767.00,6.04,220.7,1.000,3.99,1.62,681.5,ON,48.405,52.834,49.113,28.903,1.465,1.588355e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
14,22/11/2019,12:20:31,15.6,98.5,53.5,6.70173e-008,1.79691e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.141,0.859,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,50,8,50,1,15.000,0.294,0.00,10.18,9767.07,6.04,220.7,1.000,3.99,1.62,681.5,ON,60.061,73.897,63.369,33.376,1.734,1.776939e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
15,22/11/2019,12:21:51,15.8,98.6,53.5,6.70085e-008,1.79787e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.454,0.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000,2.000,0.000,1.000,0.320,0.680,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,50,8,50,1,15.000,0.292,0.00,10.19,9772.93,6.04,220.7,1.000,3.99,1.62,684.3,ON,50.591,62.276,53.891,29.961,1.667,1.414787e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
16,22/11/2019,12:23:11,16.0,98.5,53.6,6.71358e-008,1.79884e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,2.000,1.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,50,8,50,1,15.000,0.291,0.00,10.18,9769.45,6.04,220.7,1.000,3.99,1.62,685.7,ON,59.237,63.688,57.808,49.581,1.548,1.597262e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
17,22/11/2019,12:24:31,16.2,98.5,53.8,6.71951e-008,1.79980e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.869,0.131,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,1.331,1.669,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.228,3.772,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,50,8,50,1,15.000,0.293,0.00,10.17,9770.64,6.04,220.7,1.000,3.99,1.62,683.2,ON,46.254,56.575,47.897,66.117,1.777,2.354229e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
18,22/11/2019,12:25:51,16.4,98.5,53.9,6.72543e-008,1.80077e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.030,4.773,2.227,1.000,0.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,3.000,1.000,1.000,0.000,2.000,1.000,0.000,1.000,0.167,0.833,0.000,1.000,0.000,0.000,1.000,3.000,1.000,0.000,2.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,50,8,50,1,15.000,0.294,0.00,10.17,9771.61,6.04,220.7,1.000,3.99,1.62,682.1,ON,12.289,19.340,15.283,12.188,1.732,1.738087e+003,,Test,,,PenleePoint,,Detector aerosol flow rate error,
19,22/11/2019,12:27:11,16.5,98.5,54.1,6.72840e-008,1.80125e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,0.000,0.240,1.760,0.000,2.000,2.246,0.754,0.000,1.000,0.000,1.000,0.000,2.000,1.000,1.000,1.000,0.000,0.000,0.000,2.482,0.518,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,50,8,50,1,15.000,0.293,0.00,10.17,9772.09,6.04,220.7,1.000,3.99,1.62,683.5,ON,50.130,60.522,51.941,37.180,1.717,2.857440e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
20,22/11/2019,12:28:31,16.7,98.5,54.1,6.73432e-008,1.80222e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,2.000,2.000,0.000,0.000,0.000,1.000,2.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,1.000,2.000,0.000,0.000,4.000,2.000,0.000,1.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.862,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.296,0.00,10.17,9773.27,6.04,220.7,1.000,3.99,1.62,679.8,ON,46.327,54.562,50.213,68.539,1.496,2.701575e+002,,Test,,,PenleePoint,,Detector aerosol flow rate error,
