Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
844,12/12/2019,09:39:44,16.9,99.4,62.9,6.67923e-008,1.80318e-005,,679.422,633.745,863.022,834.050,659.963,651.132,524.864,568.520,613.113,819.421,702.629,1173.361,876.315,644.714,725.132,586.494,703.188,761.874,682.510,618.682,555.054,547.811,545.071,633.103,666.615,549.098,764.385,653.753,645.246,690.376,672.314,547.802,745.638,752.513,680.756,808.824,748.427,643.917,701.881,644.727,644.214,809.746,737.610,980.298,668.226,596.066,629.374,706.904,811.955,631.310,523.873,544.993,898.786,733.812,666.165,687.770,646.646,851.270,754.101,619.282,626.324,721.651,689.948,821.949,639.451,591.789,536.402,820.099,633.989,659.339,606.081,683.076,664.494,580.604,593.437,1028.310,1016.157,839.725,660.235,553.987,504.776,543.342,532.229,577.383,687.016,796.521,677.780,640.800,624.504,520.107,631.806,600.968,849.943,720.262,715.258,544.951,552.401,571.248,588.287,574.470,50,8,50,1,15.000,0.100,0.00,10.24,9830.93,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.388,28.657,16.276,6.612,2.564,1.049807e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
845,12/12/2019,09:41:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,584.830,545.287,575.497,668.186,706.769,638.212,686.850,1270.055,902.174,824.406,850.390,1107.782,975.505,731.961,720.783,610.532,812.751,796.945,1530.865,1245.298,1184.515,825.706,946.611,855.662,952.882,720.166,686.477,700.531,793.109,565.462,536.794,471.727,448.782,555.003,543.001,660.592,594.052,558.674,567.385,650.509,710.614,651.115,746.439,664.117,655.092,683.542,667.177,687.765,558.425,726.712,707.481,613.110,1120.245,944.840,761.734,883.978,897.948,699.367,584.621,570.499,2540.742,1077.824,722.072,870.298,822.596,826.308,827.504,702.707,643.070,654.970,753.377,735.133,638.652,700.945,810.313,826.902,750.606,752.210,617.919,602.287,606.762,707.235,602.676,564.261,611.935,523.305,469.127,617.797,843.247,814.046,679.135,574.481,612.901,475.034,508.327,603.952,524.094,471.314,523.600,577.112,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.746,27.327,16.079,7.915,2.473,1.155129e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
846,12/12/2019,09:42:24,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,659.378,660.898,618.021,585.426,550.186,599.035,561.592,659.359,751.628,887.627,1030.820,679.062,628.429,628.680,625.828,704.773,738.049,955.527,746.819,704.952,604.196,724.742,884.346,861.480,783.855,717.629,794.199,795.655,984.374,912.126,852.482,657.086,739.805,769.296,833.549,703.748,766.337,727.999,695.204,700.753,560.628,625.370,680.553,608.535,745.124,953.480,677.850,715.419,1086.729,946.896,777.432,689.864,615.530,623.531,594.351,610.658,569.975,614.450,546.438,645.338,637.392,673.856,616.089,593.075,505.534,513.333,557.186,770.495,1127.268,764.965,613.496,1112.547,996.576,731.462,616.711,573.622,709.477,636.022,585.767,580.080,576.571,564.559,600.923,562.145,569.099,515.485,688.360,927.846,834.223,566.670,546.234,517.116,450.252,544.851,579.036,599.183,654.820,746.150,683.504,667.622,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,12.211,28.629,16.581,6.153,2.515,1.063732e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
847,12/12/2019,09:43:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,661.724,707.575,780.282,795.317,834.147,791.785,694.384,630.393,728.110,713.963,692.396,810.925,664.101,714.229,626.864,642.905,780.590,843.384,736.868,733.791,752.106,819.363,895.750,754.674,666.366,602.315,654.178,610.330,611.109,543.078,712.655,723.096,693.479,930.732,957.241,733.481,658.870,768.832,705.342,630.708,748.661,840.152,820.928,738.602,672.147,710.305,691.476,745.478,612.560,632.473,732.622,838.987,733.972,692.093,700.891,731.831,727.108,710.769,703.820,634.280,753.114,660.596,658.081,720.289,563.883,698.054,783.083,807.045,762.322,928.879,746.344,788.600,809.989,719.876,989.044,974.235,1011.144,744.344,773.082,619.605,750.194,636.968,520.115,679.571,860.350,699.952,777.161,712.850,625.869,650.688,542.912,635.148,630.874,591.080,649.614,566.468,688.043,1124.568,769.864,674.977,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.818,29.500,16.584,6.612,2.595,1.104693e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
848,12/12/2019,09:45:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,1103.280,928.183,753.574,607.822,926.546,837.442,835.652,821.370,743.308,918.721,936.642,774.443,943.770,924.461,812.846,810.100,847.346,808.818,902.097,794.406,877.549,788.239,976.282,804.737,738.721,750.871,899.446,786.824,834.404,727.682,668.752,892.886,806.361,813.781,855.337,845.450,644.288,640.136,605.091,756.617,797.111,814.043,744.861,703.398,812.558,865.383,1092.363,894.920,863.957,786.779,773.180,733.294,674.909,799.426,718.136,783.463,774.615,922.961,789.071,686.812,721.031,712.324,955.951,856.611,1028.007,945.352,815.612,705.073,673.465,662.776,736.696,751.741,715.482,752.263,1103.373,839.898,630.731,565.608,585.774,723.899,673.816,603.533,706.451,826.401,788.459,702.486,503.801,510.242,515.321,522.065,548.010,840.535,664.675,498.003,474.089,668.702,640.370,629.847,615.664,475.324,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.204,26.482,15.487,6.153,2.477,1.234472e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
849,12/12/2019,09:46:24,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,877.505,787.746,694.096,961.044,736.933,896.691,887.362,736.555,849.303,972.759,879.163,992.430,868.574,920.375,675.966,754.015,990.354,888.923,863.394,927.376,844.572,975.285,847.899,886.401,1026.813,868.164,820.048,685.985,695.910,788.749,955.815,1043.840,897.726,902.747,765.416,951.430,835.683,755.907,719.702,813.978,697.121,820.585,1074.958,828.598,696.359,739.391,718.542,629.136,734.096,693.728,824.678,791.922,735.789,703.776,604.145,646.736,634.798,608.824,1087.531,764.767,834.594,676.745,680.870,686.107,644.569,782.994,1016.235,774.053,806.544,708.985,553.155,567.873,679.166,735.399,784.091,840.382,899.247,822.054,693.308,770.086,727.840,778.271,646.126,556.265,620.304,668.996,557.264,660.935,596.415,669.222,681.437,592.538,611.200,657.686,575.126,552.912,488.561,454.526,535.244,630.536,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.379,26.216,15.471,6.153,2.446,1.238376e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
850,12/12/2019,09:47:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,823.726,840.575,797.102,777.829,857.211,756.746,974.289,883.008,906.741,811.627,892.102,782.435,707.235,833.213,863.996,886.769,794.304,885.914,867.191,782.297,738.869,855.535,817.794,1101.474,899.109,847.413,728.869,667.884,882.931,749.774,795.336,771.919,669.572,802.848,656.322,701.964,765.466,788.420,795.207,1067.454,1017.481,817.209,759.348,612.245,687.000,734.580,754.767,709.352,818.611,796.142,699.881,652.513,600.396,684.199,1452.293,789.308,769.655,639.958,680.555,636.488,633.190,806.244,749.161,697.701,650.050,665.338,951.556,737.438,564.820,610.838,606.313,667.250,840.052,825.420,703.378,574.505,783.866,966.712,743.398,728.563,830.303,898.858,664.387,624.439,614.460,631.541,650.827,609.266,564.101,679.981,779.120,637.981,735.266,559.691,487.956,568.018,473.060,580.118,622.276,574.998,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.308,26.705,15.575,6.153,2.477,1.211854e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
851,12/12/2019,09:49:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,685.657,662.269,857.095,1036.815,828.834,1326.435,1453.889,1056.015,963.863,810.783,755.293,807.645,750.375,697.882,751.990,823.778,989.176,896.860,836.952,999.041,746.911,966.398,788.652,744.370,830.166,735.787,792.751,807.779,807.378,775.686,836.391,645.722,579.854,716.630,801.963,899.503,815.280,688.900,777.472,862.541,862.765,888.082,954.724,849.817,907.660,870.765,939.995,1095.490,959.628,918.759,885.056,847.615,682.900,892.419,758.741,751.511,735.196,846.296,758.141,695.869,744.443,659.448,702.784,789.008,771.824,900.293,1336.922,927.453,805.494,724.129,650.522,780.754,768.374,661.972,808.971,711.460,692.021,995.137,590.693,642.077,748.483,798.293,946.782,835.994,936.664,752.385,776.976,889.123,968.069,855.465,605.991,620.349,669.588,556.527,530.929,521.578,859.987,905.713,693.972,696.994,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.184,27.641,15.793,7.635,2.530,1.292554e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
852,12/12/2019,09:50:24,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,858.830,875.204,763.218,709.224,686.353,944.796,821.004,857.991,722.532,997.953,872.670,836.095,1637.494,1149.956,904.050,834.290,767.223,786.237,726.675,743.469,891.313,891.935,916.540,818.228,771.039,812.025,710.107,976.527,776.989,681.790,796.702,921.614,1023.759,1690.251,1265.164,948.625,850.645,850.278,878.798,826.101,948.105,962.531,783.090,920.249,984.364,854.121,823.129,802.411,726.146,1020.512,998.291,1009.554,959.476,813.552,812.806,732.587,982.349,800.088,768.567,940.709,1008.991,919.643,792.253,712.358,581.723,590.571,692.759,827.867,728.836,814.384,743.544,631.303,620.283,642.934,916.699,832.437,794.058,863.890,858.984,1016.168,1238.905,1003.631,818.651,802.558,792.215,742.990,603.153,614.450,794.652,783.233,672.115,741.098,722.695,744.343,608.595,653.515,582.938,799.019,699.762,704.953,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.671,27.877,16.214,6.153,2.502,1.306487e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
853,12/12/2019,09:51:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,787.430,755.622,993.225,861.906,869.222,1001.906,755.211,1094.623,707.284,849.216,761.835,745.844,925.347,1472.579,1261.245,955.884,797.725,967.102,1079.768,1092.812,865.090,674.837,809.077,752.295,867.687,846.742,1164.052,993.507,922.759,825.410,725.979,909.847,864.305,698.276,752.609,618.294,647.395,694.312,783.206,670.327,910.996,765.404,655.637,690.392,783.868,662.434,735.043,689.383,902.301,1358.553,949.987,734.573,743.433,747.105,861.034,720.766,846.992,717.178,669.782,903.192,794.710,670.779,722.730,810.077,803.217,866.419,843.558,907.005,805.671,769.126,695.494,887.832,788.371,771.633,659.854,571.616,649.518,832.771,651.432,592.866,798.426,835.269,671.092,648.446,663.053,606.053,842.933,843.538,682.451,649.032,768.230,894.324,777.576,617.494,533.247,783.249,738.203,604.128,612.456,637.000,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.180,26.843,15.553,6.612,2.480,1.293337e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
854,12/12/2019,09:53:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,691.071,878.047,859.695,809.467,816.495,749.519,750.727,918.314,749.639,828.618,1020.914,771.860,811.845,804.007,894.743,856.208,688.585,770.017,680.403,695.571,848.438,955.571,1235.283,947.200,938.430,1039.087,864.202,853.384,762.614,1036.916,1078.282,800.892,711.004,653.089,700.958,689.904,1215.487,867.049,683.967,968.805,886.595,808.143,1323.303,1268.922,989.885,758.237,1109.241,882.403,859.901,789.117,733.058,1124.217,965.253,920.773,784.428,691.891,844.907,940.864,1107.863,1055.868,875.238,1083.665,1166.196,880.631,863.301,1092.935,980.971,1059.727,832.256,819.532,798.413,747.112,862.579,778.451,655.903,678.545,945.957,871.216,750.128,672.310,686.492,582.791,586.044,607.373,621.654,756.453,773.316,792.450,616.513,643.802,709.475,721.095,641.092,583.317,494.348,568.590,665.209,702.663,802.528,669.992,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,12.395,27.968,16.477,6.378,2.496,1.271196e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
855,12/12/2019,09:54:24,16.9,99.2,62.8,6.69269e-008,1.80318e-005,,855.030,766.770,786.531,700.425,825.499,805.767,877.167,844.474,1009.886,972.102,832.859,753.195,810.520,640.958,707.537,689.369,777.187,799.311,811.042,847.703,867.655,759.533,843.392,867.291,885.357,953.572,799.504,752.388,743.672,828.431,874.253,970.250,903.486,871.152,764.012,814.274,702.725,625.040,782.122,787.526,716.961,792.682,811.841,742.523,686.752,578.697,640.760,591.063,808.897,630.913,556.407,683.978,682.346,896.147,968.091,844.958,853.761,796.762,1018.424,783.266,683.560,725.334,753.142,664.511,640.865,601.515,616.570,638.449,540.176,596.177,664.458,623.777,676.018,653.485,595.806,599.708,542.640,595.370,1374.225,833.133,857.506,963.965,744.249,769.019,749.262,781.482,723.404,672.913,662.829,683.588,597.047,582.512,564.880,773.633,748.724,764.379,684.383,605.438,717.449,754.814,50,8,50,1,15.000,0.100,0.00,10.22,9821.48,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.541,27.876,15.889,6.153,2.528,1.196482e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
856,12/12/2019,09:55:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,939.637,1435.522,830.152,769.961,732.710,675.468,794.433,737.140,1116.414,893.442,967.361,858.465,1004.526,1051.436,1057.271,807.854,846.181,833.526,810.832,751.001,775.568,676.101,727.459,719.959,700.926,692.959,672.164,751.487,832.712,814.844,673.342,710.026,809.447,881.747,805.387,824.777,730.765,967.381,674.490,655.596,662.980,789.121,759.887,735.304,955.205,977.855,822.198,843.896,883.038,761.185,773.793,635.274,856.827,995.206,873.315,968.055,843.398,837.420,919.111,936.589,904.439,763.555,639.602,702.099,792.306,953.082,849.929,769.451,727.323,793.984,860.910,888.564,878.087,692.131,705.817,738.157,787.524,721.236,795.717,690.409,732.295,877.378,695.912,802.111,637.163,601.204,704.190,675.470,605.832,655.546,685.146,701.375,700.235,694.316,700.092,693.061,715.606,583.184,483.566,637.610,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,10.802,26.919,15.478,6.378,2.516,1.271216e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
857,12/12/2019,09:57:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,1078.850,847.954,890.332,877.553,919.036,843.928,889.500,915.358,852.488,940.925,1610.613,1324.163,1003.192,965.746,1045.222,912.566,781.623,812.470,866.552,936.336,920.783,831.853,787.946,821.690,972.554,1005.477,781.222,745.308,736.889,779.748,740.391,724.230,1291.213,1071.587,907.739,788.676,820.685,753.680,810.894,1080.499,1118.601,1073.596,1009.523,851.778,889.421,923.214,850.416,841.443,885.957,857.259,718.337,704.581,765.823,668.310,842.429,870.227,835.864,728.250,747.299,965.094,742.822,730.014,833.534,723.741,716.597,678.587,645.622,779.553,701.111,739.310,720.304,841.591,811.407,715.267,790.190,706.533,824.729,826.715,780.092,709.805,638.310,756.737,788.827,739.682,751.840,821.251,854.240,933.675,830.083,719.207,698.025,715.355,739.003,681.671,934.437,806.301,776.833,717.707,676.784,619.934,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,10.895,26.820,15.445,6.153,2.489,1.364638e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
858,12/12/2019,09:58:24,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,1110.020,1099.083,1081.221,1180.725,1002.558,1156.683,917.375,1037.491,820.110,893.202,881.029,1075.631,1135.946,806.889,1360.917,1067.800,821.035,784.888,1497.090,908.400,768.153,731.969,854.789,755.149,819.400,781.059,805.751,856.543,886.876,1002.463,957.485,1026.153,807.198,734.725,875.804,680.441,679.616,707.989,742.510,766.664,765.976,846.281,1039.088,834.786,1011.000,854.004,730.551,780.713,672.930,771.211,815.980,769.567,793.005,780.748,701.564,663.474,697.957,736.263,870.712,1206.364,1112.154,942.456,765.862,651.871,622.424,664.950,635.665,750.381,774.157,786.446,860.026,777.268,750.281,712.225,707.360,691.768,772.607,865.671,876.609,715.138,659.051,854.049,721.286,604.256,715.324,596.267,618.612,653.743,622.358,651.973,986.673,1015.494,784.987,776.696,768.398,680.414,717.532,766.605,727.275,715.282,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,10.503,25.963,14.850,6.153,2.483,1.399315e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
859,12/12/2019,09:59:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,1220.578,987.297,783.203,715.987,835.571,877.312,941.910,788.984,739.208,1767.769,1351.185,1059.837,881.523,927.004,856.696,902.529,806.802,1131.100,815.209,765.382,796.904,730.028,688.812,699.298,651.418,768.601,747.125,723.200,984.443,955.340,831.880,797.822,839.832,810.571,839.446,737.712,619.008,662.938,718.025,723.295,772.393,1008.826,804.812,717.337,807.902,1341.670,1731.864,1011.546,912.266,838.034,909.083,783.788,780.783,748.329,746.438,810.645,838.681,838.099,727.703,866.192,756.932,779.510,908.050,669.615,701.321,667.378,736.166,782.339,649.478,547.396,677.754,958.355,779.048,689.107,621.661,605.727,1131.687,881.171,774.870,712.861,578.373,615.167,606.848,766.775,774.442,605.766,550.877,629.376,856.122,743.736,744.441,609.399,586.290,614.432,627.033,575.742,861.898,839.416,883.344,698.129,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,10.686,26.501,15.261,6.153,2.489,1.329791e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
860,12/12/2019,10:01:04,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,882.731,965.224,1059.346,851.925,834.567,774.768,924.912,826.064,875.696,797.952,747.679,811.927,802.403,897.728,809.655,880.916,866.570,744.989,692.936,782.283,766.514,937.313,832.552,788.765,927.119,770.322,872.358,995.228,800.289,895.238,871.734,770.494,947.417,841.780,823.632,783.123,880.246,667.820,992.578,927.719,1066.888,1036.843,869.016,925.363,1186.284,1502.355,1519.044,1280.783,989.772,876.438,842.877,959.681,807.766,839.097,790.077,759.793,722.954,960.502,708.433,761.460,695.849,710.648,877.467,842.389,767.758,1013.146,848.473,780.991,921.332,805.195,771.983,634.709,635.463,651.436,696.545,722.657,727.338,577.360,519.841,600.615,586.994,551.044,602.595,623.375,685.554,737.358,787.128,720.486,674.523,801.101,723.338,725.115,642.339,681.323,602.413,576.182,545.661,521.426,684.856,647.173,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.606,26.760,15.797,6.612,2.470,1.285337e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
861,12/12/2019,10:02:24,16.9,99.3,62.8,6.68595e-008,1.80318e-005,,707.741,670.654,1039.111,854.601,888.773,759.102,906.416,903.173,1010.879,772.322,857.067,1204.365,975.362,823.833,805.365,846.967,822.089,727.420,708.590,725.549,870.424,778.410,890.303,977.934,757.514,861.961,985.128,797.640,845.115,793.904,803.975,924.589,750.045,964.352,799.296,770.651,782.880,752.804,883.262,863.305,951.921,905.107,856.440,934.248,757.619,766.317,831.006,704.343,707.086,683.775,735.255,667.966,665.310,810.842,725.393,742.758,704.482,717.454,723.296,879.756,790.888,661.269,640.523,614.203,571.203,701.353,822.008,805.249,723.554,738.234,797.111,637.444,801.379,720.078,622.930,811.055,797.211,742.560,968.924,885.093,890.000,847.205,712.692,1036.903,873.861,824.562,685.478,623.435,746.864,707.611,677.413,668.441,831.911,704.298,579.018,744.337,726.832,664.349,542.861,485.851,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.286,27.481,15.820,6.612,2.508,1.250005e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
862,12/12/2019,10:03:44,16.9,99.3,62.8,6.68595e-008,1.80318e-005,,681.118,860.336,806.711,954.506,989.164,1007.226,1002.706,829.697,846.537,846.420,841.742,743.540,734.683,737.697,835.034,2810.731,1844.992,1076.574,860.720,968.183,857.652,692.992,700.259,744.960,862.184,1348.790,858.343,657.654,861.079,918.409,1971.995,1090.256,917.274,785.918,801.444,712.506,786.957,752.907,635.693,646.310,686.745,767.905,879.683,789.957,972.651,826.050,870.011,1255.102,1168.218,882.298,816.043,926.219,870.114,871.558,828.375,854.870,792.419,881.059,826.061,1336.563,940.357,1104.130,992.892,890.346,844.819,733.946,687.563,665.491,711.236,604.758,628.937,733.907,659.378,745.800,689.808,750.916,648.865,669.175,607.658,533.421,587.309,684.410,603.308,569.135,1008.272,996.514,1188.448,1351.189,985.411,996.963,760.103,682.426,680.383,898.597,698.089,674.499,548.902,603.474,910.086,807.652,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.152,27.324,15.866,10.554,2.476,1.384771e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
863,12/12/2019,10:05:04,16.9,99.2,62.9,6.69269e-008,1.80318e-005,,676.688,1014.008,991.040,800.189,765.652,696.721,792.320,828.982,1016.510,1059.264,1043.642,1073.635,994.770,885.191,1113.209,981.820,965.814,1322.596,1215.401,1048.044,893.260,1008.181,915.695,1020.719,850.572,728.634,668.854,804.934,950.397,742.088,859.469,769.291,799.925,727.421,1264.597,1005.063,1018.605,741.624,1505.550,904.499,675.350,621.258,668.581,1125.942,966.788,842.739,788.414,773.245,905.891,748.670,854.753,945.184,660.209,551.654,797.862,843.576,856.449,739.590,792.840,790.414,1112.212,1107.169,799.429,866.116,926.638,900.972,893.348,898.918,885.217,717.691,709.792,1038.314,823.897,1139.440,901.927,863.148,1021.932,963.195,900.257,773.005,776.770,801.585,733.804,688.634,573.870,643.508,641.584,719.575,655.640,1101.268,828.036,646.360,708.128,584.386,537.847,481.547,595.870,517.267,778.445,677.523,50,8,50,1,15.000,0.100,0.00,10.22,9821.48,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.482,26.977,15.858,6.378,2.468,1.350658e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
864,12/12/2019,10:06:24,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,837.940,957.757,892.456,1217.030,1090.627,948.080,823.530,843.689,977.110,1099.503,1100.874,862.478,731.835,769.311,851.235,897.004,824.739,795.026,848.843,718.284,721.514,766.056,751.097,886.113,953.521,901.149,891.951,751.773,949.610,947.006,927.215,803.300,814.248,737.829,630.353,831.455,803.364,748.602,709.841,619.420,760.655,674.831,694.427,652.824,649.186,653.699,650.450,806.458,980.429,768.020,761.998,787.077,769.187,707.397,744.078,694.460,709.183,766.409,686.810,735.379,920.702,794.241,754.515,628.420,825.054,697.671,838.438,746.309,918.740,876.152,767.811,772.212,724.218,628.724,631.870,743.416,903.127,942.395,870.176,866.980,810.542,852.614,807.419,839.270,747.372,671.612,642.697,559.795,625.997,664.244,665.063,632.315,585.459,621.819,617.217,734.750,779.846,793.113,735.087,707.732,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,10.723,26.785,15.241,6.854,2.515,1.290658e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
865,12/12/2019,10:07:44,16.9,99.3,62.9,6.68595e-008,1.80318e-005,,967.276,925.419,746.042,726.940,827.083,889.484,779.843,758.286,722.960,619.668,793.237,934.258,806.539,945.724,795.287,673.024,708.335,743.943,802.013,808.355,775.517,718.874,789.295,793.740,708.887,813.123,871.314,800.381,1162.809,968.545,831.564,752.124,742.387,659.448,975.643,912.561,891.743,730.229,986.297,955.615,874.715,801.221,767.735,731.959,704.812,803.163,626.940,751.795,842.717,1072.544,964.467,940.979,973.428,846.391,809.921,711.345,683.677,659.016,758.479,985.700,689.122,705.665,1353.563,2078.781,1381.579,977.954,1207.632,901.058,795.997,818.243,857.747,818.147,897.364,722.271,792.296,727.289,612.141,812.767,829.451,741.289,750.212,680.128,683.052,697.349,699.773,646.449,713.551,781.209,691.078,597.134,593.655,774.342,601.314,546.621,597.777,726.629,678.320,647.348,681.807,716.404,50,8,50,1,15.000,0.100,0.00,10.23,9826.21,6.04,220.7,1.000,3.98,1.64,1.22e+03,ON,11.968,28.426,16.460,6.153,2.544,1.236756e+007,,Test,,,,,Low aerosol flow;Detector aerosol flow rate error;Detector liquid level low,
