Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),6.15,6.38,6.61,6.85,7.10,7.37,7.64,7.91,8.20,8.51,8.82,9.14,9.47,9.82, 10.2, 10.6, 10.9, 11.3, 11.8, 12.2, 12.6, 13.1, 13.6, 14.1, 14.6, 15.1, 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
10,11/12/2019,15:07:44,17.3,99.9,48.2,6.65749e-008,1.80511e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.655,0.345,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.000,2.000,1.000,2.000,5.001,2.000,2.000,5.001,7.001,2.798,4.203,3.000,2.000,5.000,8.001,1.000,2.000,2.000,8.001,1.709,3.292,3.000,1.000,3.000,2.000,4.962,5.039,3.000,2.000,4.515,3.486,2.000,0.000,5.001,2.000,2.000,3.000,1.000,0.000,3.000,0.000,1.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9841.63,6.04,220.7,1.000,3.98,1.62,665.2,ON,77.308,89.559,80.677,76.351,1.600,8.406474e+002,,Test,,,,,Detector aerosol flow rate error,
11,11/12/2019,15:09:04,17.3,100.0,48.1,6.65083e-008,1.80511e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,4.000,1.000,0.000,2.000,3.000,1.000,1.188,3.812,2.000,0.000,2.000,7.001,5.000,3.000,4.000,6.001,6.001,1.548,3.183,3.269,2.000,4.001,8.001,5.947,3.054,2.784,3.217,2.101,2.900,0.000,3.000,3.001,1.000,3.000,1.000,2.000,2.000,1.000,2.000,0.000,1.000,0.000,2.000,1.000,1.000,50,8,50,1,15.000,0.309,0.00,10.31,9846.32,6.04,220.7,1.000,3.98,1.62,665.3,ON,80.807,91.619,83.704,98.217,1.532,7.761903e+002,,Test,,,,,Detector aerosol flow rate error,
12,11/12/2019,15:10:24,17.4,100.0,47.9,6.65375e-008,1.80559e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,1.000,0.000,2.000,1.000,0.000,1.000,3.000,4.000,2.000,3.000,3.000,2.762,2.238,4.000,4.000,1.000,4.001,4.000,2.000,5.000,1.000,4.001,1.000,6.001,3.000,4.000,5.000,5.000,4.000,2.000,2.000,3.704,1.296,0.000,4.000,2.000,0.000,3.000,2.000,0.000,0.000,0.651,3.349,50,8,50,1,15.000,0.306,0.00,10.31,9846.89,6.04,220.7,1.000,3.98,1.62,668.9,ON,96.042,104.482,96.363,109.411,1.500,6.902607e+002,,Test,,,,,Detector aerosol flow rate error,
13,11/12/2019,15:11:44,17.4,99.9,47.8,6.66041e-008,1.80559e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,3.000,1.000,1.000,0.000,2.000,4.000,0.000,3.000,2.000,1.000,3.001,1.000,4.000,0.000,3.000,0.000,0.459,2.542,3.000,3.000,2.000,0.000,2.000,3.000,2.712,6.289,4.000,1.000,3.000,1.000,3.000,0.000,3.000,1.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.30,9842.42,6.04,220.7,1.000,3.98,1.62,664.1,ON,75.806,80.932,67.349,113.419,1.988,5.612351e+002,,Test,,,,,Detector aerosol flow rate error,
14,11/12/2019,15:13:04,17.4,100.0,47.7,6.65375e-008,1.80559e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,3.000,2.000,0.000,1.000,0.000,1.000,0.000,2.000,1.000,4.000,1.000,2.000,1.000,3.000,0.000,4.000,3.001,2.000,2.000,2.232,3.768,3.000,3.000,4.000,8.588,3.413,5.000,4.001,2.762,4.238,1.081,2.919,0.857,1.143,2.000,0.000,2.000,1.000,5.001,0.000,1.000,2.000,0.000,0.000,0.000,1.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.31,9846.82,6.04,220.7,1.000,3.98,1.62,665.3,ON,88.254,90.239,82.443,94.746,1.544,6.492612e+002,,Test,,,,,Detector aerosol flow rate error,
15,11/12/2019,15:14:24,17.4,99.9,47.6,6.66041e-008,1.80559e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000,1.000,0.000,0.000,2.000,0.000,0.000,2.277,0.723,3.000,1.000,2.000,3.000,1.000,1.000,3.000,3.000,1.460,1.540,3.000,1.000,1.532,0.469,3.000,5.000,3.000,1.000,3.000,1.000,1.000,3.000,2.000,3.000,1.000,1.000,1.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000,0.000,1.000,50,8,50,1,15.000,0.309,0.00,10.30,9842.20,6.04,220.7,1.000,3.98,1.62,665.3,ON,86.921,93.256,82.878,105.545,1.666,4.726120e+002,,Test,,,,,Detector aerosol flow rate error,
16,11/12/2019,15:15:44,17.5,99.9,47.5,6.66334e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,3.000,2.000,1.000,3.000,3.000,0.000,0.000,4.979,1.021,4.000,1.000,2.000,4.000,1.000,3.000,3.000,2.000,1.000,0.847,2.153,2.000,2.000,2.000,1.000,0.799,1.201,1.000,1.000,1.658,2.342,0.000,0.000,1.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9842.77,6.04,220.7,1.000,3.98,1.62,665.3,ON,80.629,88.112,80.268,68.539,1.555,4.315436e+002,,Test,,,,,Detector aerosol flow rate error,
17,11/12/2019,15:17:04,17.5,100.0,47.5,6.65667e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2.000,2.000,0.000,3.000,0.000,0.000,1.000,1.000,3.000,3.000,1.000,2.000,0.000,1.000,1.000,1.000,2.000,5.000,1.000,1.563,1.437,0.000,2.000,1.741,1.260,2.000,1.000,2.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,3.000,1.000,1.000,0.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.31,9847.46,6.04,220.7,1.000,3.98,1.62,665.4,ON,81.399,88.297,77.960,88.168,1.669,3.806123e+002,,Test,,,,,Detector aerosol flow rate error,
18,11/12/2019,15:18:24,17.5,99.9,47.4,6.66334e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,2.000,1.000,1.000,2.000,1.000,3.000,3.254,0.746,2.000,1.000,2.000,3.000,3.000,3.000,3.000,1.000,0.333,2.667,2.000,2.000,4.000,1.000,2.000,0.000,4.000,1.000,1.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,50,8,50,1,15.000,0.309,0.00,10.30,9842.77,6.04,220.7,1.000,3.98,1.62,665.3,ON,90.640,95.176,88.178,121.881,1.495,3.943224e+002,,Test,,,,,Detector aerosol flow rate error,
19,11/12/2019,15:19:44,17.5,100.0,47.4,6.65667e-008,1.80607e-005,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.694,0.306,0.000,1.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,1.123,1.877,3.000,3.000,2.000,1.000,3.000,0.405,3.864,2.732,3.000,2.000,1.000,1.000,5.001,8.001,6.001,4.001,3.562,1.438,2.000,3.000,4.000,3.000,0.000,1.000,1.839,3.162,2.000,0.445,1.555,3.000,3.000,3.000,1.000,1.000,1.000,1.000,0.000,2.000,0.000,0.000,50,8,50,1,15.000,0.310,0.00,10.31,9847.46,6.04,220.7,1.000,3.98,1.62,664.2,ON,82.198,83.378,69.660,85.053,1.932,7.454553e+002,,Test,,,,,Detector aerosol flow rate error,
